observation_date,DSERRG3Q086SBEA_20130228,DSERRG3Q086SBEA_20130328,DSERRG3Q086SBEA_20130426,DSERRG3Q086SBEA_20130530,DSERRG3Q086SBEA_20130626,DSERRG3Q086SBEA_20130731,DSERRG3Q086SBEA_20140110,DSERRG3Q086SBEA_20140130,DSERRG3Q086SBEA_20140228,DSERRG3Q086SBEA_20140327,DSERRG3Q086SBEA_20140430,DSERRG3Q086SBEA_20140529,DSERRG3Q086SBEA_20140625,DSERRG3Q086SBEA_20140730,DSERRG3Q086SBEA_20140828,DSERRG3Q086SBEA_20140926,DSERRG3Q086SBEA_20141030,DSERRG3Q086SBEA_20141125,DSERRG3Q086SBEA_20141223,DSERRG3Q086SBEA_20150130,DSERRG3Q086SBEA_20150227,DSERRG3Q086SBEA_20150327,DSERRG3Q086SBEA_20150429,DSERRG3Q086SBEA_20150529,DSERRG3Q086SBEA_20150624,DSERRG3Q086SBEA_20150730,DSERRG3Q086SBEA_20150827,DSERRG3Q086SBEA_20150925,DSERRG3Q086SBEA_20151029,DSERRG3Q086SBEA_20151124,DSERRG3Q086SBEA_20151222,DSERRG3Q086SBEA_20160129,DSERRG3Q086SBEA_20160226,DSERRG3Q086SBEA_20160325,DSERRG3Q086SBEA_20160428,DSERRG3Q086SBEA_20160527,DSERRG3Q086SBEA_20160628,DSERRG3Q086SBEA_20160729,DSERRG3Q086SBEA_20160826,DSERRG3Q086SBEA_20160929,DSERRG3Q086SBEA_20161028,DSERRG3Q086SBEA_20161129,DSERRG3Q086SBEA_20161222,DSERRG3Q086SBEA_20170127,DSERRG3Q086SBEA_20170228,DSERRG3Q086SBEA_20170330,DSERRG3Q086SBEA_20170428,DSERRG3Q086SBEA_20170526,DSERRG3Q086SBEA_20170629,DSERRG3Q086SBEA_20170728,DSERRG3Q086SBEA_20170830,DSERRG3Q086SBEA_20170928,DSERRG3Q086SBEA_20171027,DSERRG3Q086SBEA_20171129,DSERRG3Q086SBEA_20171221,DSERRG3Q086SBEA_20180126,DSERRG3Q086SBEA_20180228,DSERRG3Q086SBEA_20180328,DSERRG3Q086SBEA_20180427,DSERRG3Q086SBEA_20180530,DSERRG3Q086SBEA_20180628,DSERRG3Q086SBEA_20180727,DSERRG3Q086SBEA_20180829,DSERRG3Q086SBEA_20180927,DSERRG3Q086SBEA_20181026,DSERRG3Q086SBEA_20181128,DSERRG3Q086SBEA_20181221,DSERRG3Q086SBEA_20190228,DSERRG3Q086SBEA_20190328,DSERRG3Q086SBEA_20190426,DSERRG3Q086SBEA_20190530,DSERRG3Q086SBEA_20190627,DSERRG3Q086SBEA_20190726,DSERRG3Q086SBEA_20190829,DSERRG3Q086SBEA_20190926,DSERRG3Q086SBEA_20191030,DSERRG3Q086SBEA_20191127,DSERRG3Q086SBEA_20191220,DSERRG3Q086SBEA_20200130,DSERRG3Q086SBEA_20200227,DSERRG3Q086SBEA_20200326
1960-01-01,13.462,13.462,13.462,13.462,13.462,12.517,12.517,12.517,12.517,12.517,12.517,12.517,12.517,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,12.518,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725
1960-04-01,13.536,13.536,13.536,13.536,13.536,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,12.586,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789
1960-07-01,13.626,13.626,13.626,13.626,13.626,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865
1960-10-01,13.697,13.697,13.697,13.697,13.697,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,12.736,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926
1961-01-01,13.732,13.732,13.732,13.732,13.732,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,12.769,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957
1961-04-01,13.793,13.793,13.793,13.793,13.793,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009,12.009
1961-07-01,13.859,13.859,13.859,13.859,13.859,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.887,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066,12.066
1961-10-01,13.918,13.918,13.918,13.918,13.918,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.942,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116,12.116
1962-01-01,14.001,14.001,14.001,14.001,14.001,13.019,13.019,13.019,13.019,13.019,13.019,13.019,13.019,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187,12.187
1962-04-01,14.069,14.069,14.069,14.069,14.069,13.082,13.082,13.082,13.082,13.082,13.082,13.082,13.082,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,13.083,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246
