observation_date,IPDNBS_19990805,IPDNBS_19990902,IPDNBS_19991112,IPDNBS_20000208,IPDNBS_20000307,IPDNBS_20000504,IPDNBS_20000808,IPDNBS_20001102,IPDNBS_20001206,IPDNBS_20010207,IPDNBS_20010508,IPDNBS_20010807,IPDNBS_20011107,IPDNBS_20020206,IPDNBS_20020507,IPDNBS_20020531,IPDNBS_20020809,IPDNBS_20021107,IPDNBS_20030206,IPDNBS_20030306,IPDNBS_20030501,IPDNBS_20030604,IPDNBS_20030807,IPDNBS_20031106,IPDNBS_20031203,IPDNBS_20040205,IPDNBS_20040506,IPDNBS_20040603,IPDNBS_20040810,IPDNBS_20041104,IPDNBS_20050203,IPDNBS_20050505,IPDNBS_20050809,IPDNBS_20051103,IPDNBS_20051206,IPDNBS_20060202,IPDNBS_20060307,IPDNBS_20060504,IPDNBS_20060601,IPDNBS_20060808,IPDNBS_20060906,IPDNBS_20061102,IPDNBS_20061205,IPDNBS_20070207,IPDNBS_20070306,IPDNBS_20070503,IPDNBS_20070606,IPDNBS_20070807,IPDNBS_20070906,IPDNBS_20071107,IPDNBS_20071205,IPDNBS_20080206,IPDNBS_20080305,IPDNBS_20080507,IPDNBS_20080604,IPDNBS_20080808,IPDNBS_20080904,IPDNBS_20081106,IPDNBS_20081203,IPDNBS_20090205,IPDNBS_20090305,IPDNBS_20090507,IPDNBS_20090604,IPDNBS_20090811,IPDNBS_20090902,IPDNBS_20091105,IPDNBS_20091203,IPDNBS_20100204,IPDNBS_20100304,IPDNBS_20100506,IPDNBS_20100603,IPDNBS_20100810,IPDNBS_20100902,IPDNBS_20101104,IPDNBS_20101201,IPDNBS_20110203,IPDNBS_20110303,IPDNBS_20110505,IPDNBS_20110602,IPDNBS_20110809,IPDNBS_20110901,IPDNBS_20111103,IPDNBS_20111130,IPDNBS_20120202,IPDNBS_20120307,IPDNBS_20120503,IPDNBS_20120606,IPDNBS_20120808,IPDNBS_20120905,IPDNBS_20121101,IPDNBS_20130207,IPDNBS_20130307,IPDNBS_20130502,IPDNBS_20130605,IPDNBS_20130816,IPDNBS_20130905,IPDNBS_20131114,IPDNBS_20131216,IPDNBS_20140206,IPDNBS_20140306,IPDNBS_20140507,IPDNBS_20140604,IPDNBS_20140808,IPDNBS_20140904,IPDNBS_20141106,IPDNBS_20141203,IPDNBS_20150205,IPDNBS_20150305,IPDNBS_20150506,IPDNBS_20150604,IPDNBS_20150811,IPDNBS_20150902,IPDNBS_20151105,IPDNBS_20151202,IPDNBS_20160204,IPDNBS_20160303,IPDNBS_20160504,IPDNBS_20160607,IPDNBS_20160809,IPDNBS_20160901,IPDNBS_20161103,IPDNBS_20161206,IPDNBS_20170202,IPDNBS_20170308,IPDNBS_20170504,IPDNBS_20170605,IPDNBS_20170809,IPDNBS_20170907,IPDNBS_20171102,IPDNBS_20171206,IPDNBS_20180201,IPDNBS_20180503,IPDNBS_20180606,IPDNBS_20180815,IPDNBS_20180906,IPDNBS_20181101,IPDNBS_20181206,IPDNBS_20190206,IPDNBS_20190307,IPDNBS_20190502,IPDNBS_20190606,IPDNBS_20190815,IPDNBS_20190905,IPDNBS_20191106,IPDNBS_20200206,IPDNBS_20200305
1960-01-01,25.2,25.2,26.7,26.7,26.7,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.466,26.384,26.384,26.384,26.384,26.384,26.384,26.384,26.384,21.16,21.16,21.16,21.16,21.16,21.16,21.16,21.16,21.183,21.183,21.183,21.183,21.183,21.183,21.183,21.183,21.183,21.183,21.183,21.183,21.183,21.183,21.183,20.381,20.381,20.247,20.247,20.247,20.247,20.247,20.247,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,20.222,19.454,19.454,19.454,19.454,19.454,19.454,19.454,19.454,19.454,19.454,19.454,19.454,19.454
1960-04-01,25.3,25.3,26.8,26.8,26.8,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.547,26.453,26.453,26.453,26.453,26.453,26.453,26.453,26.453,21.215,21.215,21.215,21.215,21.215,21.215,21.215,21.215,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,20.426,20.426,20.291,20.291,20.291,20.291,20.291,20.291,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,20.266,19.495,19.495,19.495,19.495,19.495,19.495,19.495,19.495,19.495,19.495,19.495,19.495,19.495
1960-07-01,25.4,25.4,26.8,26.8,26.8,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.648,26.565,26.565,26.565,26.565,26.565,26.565,26.565,26.565,21.305,21.305,21.305,21.305,21.305,21.305,21.305,21.305,21.329,21.329,21.329,21.329,21.329,21.329,21.329,21.329,21.329,21.329,21.329,21.329,21.329,21.329,21.329,20.507,20.507,20.371,20.371,20.371,20.371,20.371,20.371,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,20.346,19.571,19.571,19.571,19.571,19.571,19.571,19.571,19.571,19.571,19.571,19.571,19.571,19.571
1960-10-01,25.5,25.5,26.9,26.9,26.9,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.641,26.641,26.641,26.641,26.641,26.641,26.641,26.641,21.366,21.366,21.366,21.366,21.366,21.366,21.366,21.366,21.391,21.391,21.391,21.391,21.391,21.391,21.391,21.391,21.391,21.391,21.391,21.391,21.391,21.391,21.391,20.573,20.573,20.438,20.438,20.438,20.438,20.438,20.438,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,20.413,19.633,19.633,19.633,19.633,19.633,19.633,19.633,19.633,19.633,19.633,19.633,19.633,19.633
1961-01-01,25.5,25.5,27.0,27.0,27.0,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.765,26.673,26.673,26.673,26.673,26.673,26.673,26.673,26.673,21.391,21.391,21.391,21.391,21.391,21.391,21.391,21.391,21.416,21.416,21.416,21.416,21.416,21.416,21.416,21.416,21.416,21.416,21.416,21.416,21.416,21.416,21.416,20.592,20.592,20.456,20.456,20.456,20.456,20.456,20.456,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,20.432,19.65,19.65,19.65,19.65,19.65,19.65,19.65,19.65,19.65,19.65,19.65,19.65,19.65
1961-04-01,25.6,25.6,27.0,27.0,27.0,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.812,26.721,26.721,26.721,26.721,26.721,26.721,26.721,26.721,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.43,21.454,21.454,21.454,21.454,21.454,21.454,21.454,21.454,21.454,21.454,21.454,21.454,21.454,21.454,21.454,20.633,20.633,20.496,20.496,20.496,20.496,20.496,20.496,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,20.472,19.688,19.688,19.688,19.688,19.688,19.688,19.688,19.688,19.688,19.688,19.688,19.688,19.688
1961-07-01,25.6,25.6,27.0,27.0,27.0,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.843,26.75,26.75,26.75,26.75,26.75,26.75,26.75,26.75,21.453,21.453,21.453,21.453,21.453,21.453,21.453,21.453,21.478,21.478,21.478,21.478,21.478,21.478,21.478,21.478,21.478,21.478,21.478,21.478,21.478,21.478,21.478,20.649,20.649,20.512,20.512,20.512,20.512,20.512,20.512,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,20.486,19.703,19.703,19.703,19.703,19.703,19.703,19.703,19.703,19.703,19.703,19.703,19.703,19.703
1961-10-01,25.6,25.6,27.0,27.0,27.0,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.848,26.756,26.756,26.756,26.756,26.756,26.756,26.756,26.756,21.458,21.458,21.458,21.458,21.458,21.458,21.458,21.458,21.482,21.482,21.482,21.482,21.482,21.482,21.482,21.482,21.482,21.482,21.482,21.482,21.482,21.482,21.482,20.657,20.657,20.521,20.521,20.521,20.521,20.521,20.521,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,20.496,19.712,19.712,19.712,19.712,19.712,19.712,19.712,19.712,19.712,19.712,19.712,19.712,19.712
1962-01-01,25.6,25.6,27.2,27.2,27.2,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.974,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,21.565,21.565,21.565,21.565,21.565,21.565,21.565,21.565,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,20.752,20.752,20.615,20.615,20.615,20.615,20.615,20.615,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8
1962-04-01,25.8,25.8,27.3,27.3,27.3,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,27.071,26.976,26.976,26.976,26.976,26.976,26.976,26.976,26.976,21.635,21.635,21.635,21.635,21.635,21.635,21.635,21.635,21.659,21.659,21.659,21.659,21.659,21.659,21.659,21.659,21.659,21.659,21.659,21.659,21.659,21.659,21.659,20.828,20.828,20.69,20.69,20.69,20.69,20.69,20.69,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,20.665,19.872,19.872,19.872,19.872,19.872,19.872,19.872,19.872,19.872,19.872,19.872,19.872,19.872
