quarter,DFF_20200331
1980Q4,15.852826086956524
1981Q1,16.595555555555563
1981Q2,17.78692307692307
1981Q3,17.594347826086967
1981Q4,13.58836956521739
1982Q1,14.207444444444453
1982Q2,14.514175824175814
1982Q3,11.012717391304346
1982Q4,9.283913043478263
1983Q1,8.657555555555556
1983Q2,8.802747252747249
1983Q3,9.458152173913044
1983Q4,9.43010869565217
1984Q1,9.68857142857143
1984Q2,10.554725274725273
1984Q3,11.392282608695648
1984Q4,9.262499999999996
1985Q1,8.475111111111111
1985Q2,7.924395604395603
1985Q3,7.900978260869565
1985Q4,8.104456521739133
1986Q1,7.826888888888884
1986Q2,6.918461538461545
1986Q3,6.209456521739129
1986Q4,6.266739130434782
1987Q1,6.222555555555557
1987Q2,6.649999999999999
1987Q3,6.8395652173913035
1987Q4,6.9196739130434795
1988Q1,6.66593406593407
1988Q2,7.15494505494505
1988Q3,7.983478260869564
1988Q4,8.468478260869563
1989Q1,9.446444444444442
1989Q2,9.725714285714291
1989Q3,9.083586956521737
1989Q4,8.614456521739132
1990Q1,8.247999999999998
1990Q2,8.239340659340659
1990Q3,8.160217391304343
1990Q4,7.743369565217389
1991Q1,6.430444444444442
1991Q2,5.864065934065931
1991Q3,5.645217391304345
1991Q4,4.818478260869565
1992Q1,4.024285714285713
1992Q2,3.7740659340659364
1992Q3,3.259239130434782
1992Q4,3.034891304347828
1993Q1,3.0423333333333344
1993Q2,2.9972527472527473
1993Q3,3.0577173913043483
1993Q4,2.9882608695652193
1994Q1,3.209333333333334
1994Q2,3.9380219780219794
1994Q3,4.485434782608695
1994Q4,5.167934782608696
1995Q1,5.802777777777776
1995Q2,6.019120879120879
1995Q3,5.797173913043481
1995Q4,5.719456521739132
1996Q1,5.370989010989011
1996Q2,5.243956043956042
1996Q3,5.30619565217391
1996Q4,5.280869565217388
1997Q1,5.278444444444442
1997Q2,5.5221978021978
1997Q3,5.534673913043477
1997Q4,5.507391304347825
1998Q1,5.519333333333334
1998Q2,5.497472527472529
1998Q3,5.531630434782608
1998Q4,4.86054347826087
1999Q1,4.734555555555556
1999Q2,4.747692307692309
1999Q3,5.09554347826087
1999Q4,5.304021739130434
2000Q1,5.6776923076923085
2000Q2,6.271978021978021
2000Q3,6.519456521739131
2000Q4,6.474891304347829
2001Q1,5.596999999999996
2001Q2,4.326703296703296
2001Q3,3.501521739130434
2001Q4,2.130434782608696
2002Q1,1.7328888888888903
2002Q2,1.751538461538462
2002Q3,1.7408695652173913
2002Q4,1.4442391304347826
2003Q1,1.2496666666666667
2003Q2,1.246703296703296
2003Q3,1.0168478260869562
2003Q4,0.996739130434782
2004Q1,1.0018681318681315
2004Q2,1.0113186813186812
2004Q3,1.4307608695652176
2004Q4,1.9498913043478265
2005Q1,2.4690000000000003
2005Q2,2.9417582417582415
2005Q3,3.4600000000000004
2005Q4,3.978260869565217
2006Q1,4.454111111111108
2006Q2,4.907582417582419
2006Q3,5.245326086956522
2006Q4,5.242934782608695
2007Q1,5.254555555555557
2007Q2,5.252417582417585
2007Q3,5.074347826086956
2007Q4,4.495652173913043
2008Q1,3.1814285714285706
2008Q2,2.0847252747252747
2008Q3,1.9406521739130431
2008Q4,0.505326086956522
2009Q1,0.18444444444444447
2009Q2,0.17802197802197803
2009Q3,0.15434782608695666
2009Q4,0.11836956521739121
2010Q1,0.1338888888888889
2010Q2,0.19197802197802188
