observation_date,A006RD3Q086SBEA_20130228,A006RD3Q086SBEA_20130328,A006RD3Q086SBEA_20130426,A006RD3Q086SBEA_20130530,A006RD3Q086SBEA_20130626,A006RD3Q086SBEA_20130731,A006RD3Q086SBEA_20140110,A006RD3Q086SBEA_20140130,A006RD3Q086SBEA_20140228,A006RD3Q086SBEA_20140327,A006RD3Q086SBEA_20140430,A006RD3Q086SBEA_20140529,A006RD3Q086SBEA_20140625,A006RD3Q086SBEA_20140730,A006RD3Q086SBEA_20140828,A006RD3Q086SBEA_20140926,A006RD3Q086SBEA_20141030,A006RD3Q086SBEA_20141125,A006RD3Q086SBEA_20141223,A006RD3Q086SBEA_20150130,A006RD3Q086SBEA_20150227,A006RD3Q086SBEA_20150327,A006RD3Q086SBEA_20150429,A006RD3Q086SBEA_20150529,A006RD3Q086SBEA_20150624,A006RD3Q086SBEA_20150730,A006RD3Q086SBEA_20150827,A006RD3Q086SBEA_20150925,A006RD3Q086SBEA_20151029,A006RD3Q086SBEA_20151124,A006RD3Q086SBEA_20151222,A006RD3Q086SBEA_20160129,A006RD3Q086SBEA_20160226,A006RD3Q086SBEA_20160325,A006RD3Q086SBEA_20160428,A006RD3Q086SBEA_20160527,A006RD3Q086SBEA_20160628,A006RD3Q086SBEA_20160729,A006RD3Q086SBEA_20160826,A006RD3Q086SBEA_20160929,A006RD3Q086SBEA_20161028,A006RD3Q086SBEA_20161129,A006RD3Q086SBEA_20170127,A006RD3Q086SBEA_20170228,A006RD3Q086SBEA_20170330,A006RD3Q086SBEA_20170428,A006RD3Q086SBEA_20170526,A006RD3Q086SBEA_20170629,A006RD3Q086SBEA_20170728,A006RD3Q086SBEA_20170830,A006RD3Q086SBEA_20170928,A006RD3Q086SBEA_20171027,A006RD3Q086SBEA_20171129,A006RD3Q086SBEA_20171221,A006RD3Q086SBEA_20180126,A006RD3Q086SBEA_20180228,A006RD3Q086SBEA_20180328,A006RD3Q086SBEA_20180427,A006RD3Q086SBEA_20180530,A006RD3Q086SBEA_20180628,A006RD3Q086SBEA_20180727,A006RD3Q086SBEA_20180829,A006RD3Q086SBEA_20180927,A006RD3Q086SBEA_20181026,A006RD3Q086SBEA_20181128,A006RD3Q086SBEA_20181221,A006RD3Q086SBEA_20190228,A006RD3Q086SBEA_20190328,A006RD3Q086SBEA_20190426,A006RD3Q086SBEA_20190530,A006RD3Q086SBEA_20190627,A006RD3Q086SBEA_20190726,A006RD3Q086SBEA_20190829,A006RD3Q086SBEA_20190926,A006RD3Q086SBEA_20191030,A006RD3Q086SBEA_20191127,A006RD3Q086SBEA_20191220,A006RD3Q086SBEA_20200130,A006RD3Q086SBEA_20200227,A006RD3Q086SBEA_20200326,A006RD3Q086SBEA_20200429,A006RD3Q086SBEA_20200528,A006RD3Q086SBEA_20200625,A006RD3Q086SBEA_20200730
1960-01-01,26.952,26.952,26.952,26.952,26.952,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.242,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724,24.724
1960-04-01,26.824,26.824,26.824,26.824,26.824,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.134,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615,24.615
1960-07-01,26.649,26.649,26.649,26.649,26.649,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,23.995,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473,24.473
1960-10-01,26.316,26.316,26.316,26.316,26.316,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,23.733,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204,24.204
1961-01-01,26.483,26.483,26.483,26.483,26.483,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342,24.342
1961-04-01,26.562,26.562,26.562,26.562,26.562,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,23.935,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411,24.411
1961-07-01,26.642,26.642,26.642,26.642,26.642,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.006,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484,24.484
1961-10-01,26.801,26.801,26.801,26.801,26.801,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.139,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619,24.619
1962-01-01,26.835,26.835,26.835,26.835,26.835,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.172,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652,24.652
1962-04-01,26.651,26.651,26.651,26.651,26.651,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.024,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501,24.501
