observation_date,A074RC1Q027SBEA_20130228,A074RC1Q027SBEA_20130328,A074RC1Q027SBEA_20130426,A074RC1Q027SBEA_20130530,A074RC1Q027SBEA_20130626,A074RC1Q027SBEA_20130731,A074RC1Q027SBEA_20130829,A074RC1Q027SBEA_20131107,A074RC1Q027SBEA_20131205,A074RC1Q027SBEA_20131220,A074RC1Q027SBEA_20140130,A074RC1Q027SBEA_20140228,A074RC1Q027SBEA_20140327,A074RC1Q027SBEA_20140430,A074RC1Q027SBEA_20140529,A074RC1Q027SBEA_20140625,A074RC1Q027SBEA_20140730,A074RC1Q027SBEA_20140828,A074RC1Q027SBEA_20140926,A074RC1Q027SBEA_20141030,A074RC1Q027SBEA_20141125,A074RC1Q027SBEA_20141223,A074RC1Q027SBEA_20150130,A074RC1Q027SBEA_20150227,A074RC1Q027SBEA_20150327,A074RC1Q027SBEA_20150429,A074RC1Q027SBEA_20150529,A074RC1Q027SBEA_20150624,A074RC1Q027SBEA_20150730,A074RC1Q027SBEA_20150827,A074RC1Q027SBEA_20150925,A074RC1Q027SBEA_20151029,A074RC1Q027SBEA_20151124,A074RC1Q027SBEA_20151222,A074RC1Q027SBEA_20160129,A074RC1Q027SBEA_20160226,A074RC1Q027SBEA_20160325,A074RC1Q027SBEA_20160428,A074RC1Q027SBEA_20160527,A074RC1Q027SBEA_20160628,A074RC1Q027SBEA_20160729,A074RC1Q027SBEA_20160826,A074RC1Q027SBEA_20160929,A074RC1Q027SBEA_20161028,A074RC1Q027SBEA_20161129,A074RC1Q027SBEA_20161222,A074RC1Q027SBEA_20170127,A074RC1Q027SBEA_20170228,A074RC1Q027SBEA_20170330,A074RC1Q027SBEA_20170428,A074RC1Q027SBEA_20170526,A074RC1Q027SBEA_20170728,A074RC1Q027SBEA_20170830,A074RC1Q027SBEA_20170928,A074RC1Q027SBEA_20171027,A074RC1Q027SBEA_20171129,A074RC1Q027SBEA_20171221,A074RC1Q027SBEA_20180126,A074RC1Q027SBEA_20180228,A074RC1Q027SBEA_20180328,A074RC1Q027SBEA_20180427,A074RC1Q027SBEA_20180530,A074RC1Q027SBEA_20180628,A074RC1Q027SBEA_20180727,A074RC1Q027SBEA_20180829,A074RC1Q027SBEA_20180927,A074RC1Q027SBEA_20181026,A074RC1Q027SBEA_20181128,A074RC1Q027SBEA_20181221,A074RC1Q027SBEA_20190228,A074RC1Q027SBEA_20190328,A074RC1Q027SBEA_20190426,A074RC1Q027SBEA_20190530,A074RC1Q027SBEA_20190627,A074RC1Q027SBEA_20190726,A074RC1Q027SBEA_20190829,A074RC1Q027SBEA_20190926,A074RC1Q027SBEA_20191030,A074RC1Q027SBEA_20191127,A074RC1Q027SBEA_20191220,A074RC1Q027SBEA_20200130,A074RC1Q027SBEA_20200227,A074RC1Q027SBEA_20200326,A074RC1Q027SBEA_20200429,A074RC1Q027SBEA_20200528,A074RC1Q027SBEA_20200625,A074RC1Q027SBEA_20200730,A074RC1Q027SBEA_20200827,A074RC1Q027SBEA_20200930,A074RC1Q027SBEA_20201029,A074RC1Q027SBEA_20201125,A074RC1Q027SBEA_20201222,A074RC1Q027SBEA_20210128,A074RC1Q027SBEA_20210225
1960-01-01,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14,41.14
1960-04-01,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816,41.816
1960-07-01,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264,42.264
1960-10-01,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132,42.132
1961-01-01,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164,42.164
1961-04-01,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46,42.46
1961-07-01,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756
1961-10-01,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396,43.396
1962-01-01,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552,44.552
1962-04-01,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964,45.964
