observation_date,A091RC1Q027SBEA_20130228,A091RC1Q027SBEA_20130426,A091RC1Q027SBEA_20130731,A091RC1Q027SBEA_20131107,A091RC1Q027SBEA_20140130,A091RC1Q027SBEA_20140430,A091RC1Q027SBEA_20140730,A091RC1Q027SBEA_20141030,A091RC1Q027SBEA_20150130,A091RC1Q027SBEA_20150429,A091RC1Q027SBEA_20150730,A091RC1Q027SBEA_20151029,A091RC1Q027SBEA_20160129,A091RC1Q027SBEA_20160428,A091RC1Q027SBEA_20160729,A091RC1Q027SBEA_20161028,A091RC1Q027SBEA_20170127,A091RC1Q027SBEA_20170428,A091RC1Q027SBEA_20170728,A091RC1Q027SBEA_20171027,A091RC1Q027SBEA_20171221,A091RC1Q027SBEA_20180126,A091RC1Q027SBEA_20180427,A091RC1Q027SBEA_20180530,A091RC1Q027SBEA_20180628,A091RC1Q027SBEA_20180727,A091RC1Q027SBEA_20180927,A091RC1Q027SBEA_20181026,A091RC1Q027SBEA_20181128,A091RC1Q027SBEA_20181221,A091RC1Q027SBEA_20190228,A091RC1Q027SBEA_20190328,A091RC1Q027SBEA_20190426,A091RC1Q027SBEA_20190530,A091RC1Q027SBEA_20190627,A091RC1Q027SBEA_20190726,A091RC1Q027SBEA_20190829,A091RC1Q027SBEA_20190926,A091RC1Q027SBEA_20191030,A091RC1Q027SBEA_20191127,A091RC1Q027SBEA_20191220,A091RC1Q027SBEA_20200130,A091RC1Q027SBEA_20200227,A091RC1Q027SBEA_20200326,A091RC1Q027SBEA_20200429,A091RC1Q027SBEA_20200730,A091RC1Q027SBEA_20201029,A091RC1Q027SBEA_20210128
1960-01-01,8.6,8.6,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968
1960-04-01,8.5,8.5,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968,13.968
1960-07-01,8.2,8.2,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828,13.828
1960-10-01,8.1,8.1,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748
1961-01-01,7.9,7.9,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692,13.692
1961-04-01,7.8,7.8,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748,13.748
1961-07-01,7.9,7.9,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976,13.976
1961-10-01,8.0,8.0,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188,14.188
1962-01-01,8.2,8.2,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52
1962-04-01,8.6,8.6,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972,14.972
