observation_date,A787RC1Q027SBEA_20130228,A787RC1Q027SBEA_20130328,A787RC1Q027SBEA_20130426,A787RC1Q027SBEA_20130530,A787RC1Q027SBEA_20130626,A787RC1Q027SBEA_20130731,A787RC1Q027SBEA_20130829,A787RC1Q027SBEA_20130926,A787RC1Q027SBEA_20131107,A787RC1Q027SBEA_20131205,A787RC1Q027SBEA_20131220,A787RC1Q027SBEA_20140130,A787RC1Q027SBEA_20140228,A787RC1Q027SBEA_20140327,A787RC1Q027SBEA_20140430,A787RC1Q027SBEA_20140730,A787RC1Q027SBEA_20140828,A787RC1Q027SBEA_20140926,A787RC1Q027SBEA_20141030,A787RC1Q027SBEA_20141223,A787RC1Q027SBEA_20150130,A787RC1Q027SBEA_20150327,A787RC1Q027SBEA_20150429,A787RC1Q027SBEA_20150529,A787RC1Q027SBEA_20150624,A787RC1Q027SBEA_20150730,A787RC1Q027SBEA_20150827,A787RC1Q027SBEA_20150925,A787RC1Q027SBEA_20151029,A787RC1Q027SBEA_20151124,A787RC1Q027SBEA_20151222,A787RC1Q027SBEA_20160129,A787RC1Q027SBEA_20160226,A787RC1Q027SBEA_20160325,A787RC1Q027SBEA_20160428,A787RC1Q027SBEA_20160527,A787RC1Q027SBEA_20160628,A787RC1Q027SBEA_20160729,A787RC1Q027SBEA_20160826,A787RC1Q027SBEA_20160929,A787RC1Q027SBEA_20161028,A787RC1Q027SBEA_20161222,A787RC1Q027SBEA_20170127,A787RC1Q027SBEA_20170228,A787RC1Q027SBEA_20170330,A787RC1Q027SBEA_20170428,A787RC1Q027SBEA_20170526,A787RC1Q027SBEA_20170629,A787RC1Q027SBEA_20170728,A787RC1Q027SBEA_20170830,A787RC1Q027SBEA_20171027,A787RC1Q027SBEA_20171129,A787RC1Q027SBEA_20171221,A787RC1Q027SBEA_20180126,A787RC1Q027SBEA_20180228,A787RC1Q027SBEA_20180328,A787RC1Q027SBEA_20180427,A787RC1Q027SBEA_20180530,A787RC1Q027SBEA_20180628,A787RC1Q027SBEA_20180727,A787RC1Q027SBEA_20180829,A787RC1Q027SBEA_20180927,A787RC1Q027SBEA_20181026,A787RC1Q027SBEA_20181128,A787RC1Q027SBEA_20181221,A787RC1Q027SBEA_20190228,A787RC1Q027SBEA_20190328,A787RC1Q027SBEA_20190426,A787RC1Q027SBEA_20190530,A787RC1Q027SBEA_20190627,A787RC1Q027SBEA_20190726,A787RC1Q027SBEA_20190829,A787RC1Q027SBEA_20190926,A787RC1Q027SBEA_20191030,A787RC1Q027SBEA_20191127,A787RC1Q027SBEA_20191220,A787RC1Q027SBEA_20200130,A787RC1Q027SBEA_20200227,A787RC1Q027SBEA_20200326,A787RC1Q027SBEA_20200429,A787RC1Q027SBEA_20200528,A787RC1Q027SBEA_20200625,A787RC1Q027SBEA_20200730,A787RC1Q027SBEA_20200827,A787RC1Q027SBEA_20200930,A787RC1Q027SBEA_20201029,A787RC1Q027SBEA_20201125,A787RC1Q027SBEA_20201222,A787RC1Q027SBEA_20210128,A787RC1Q027SBEA_20210225
1960-01-01,14.3,14.3,14.3,14.3,14.3,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.564,21.564,21.564,21.564,21.564,21.564,21.564,21.564,21.564,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567
1960-04-01,13.8,13.8,13.8,13.8,13.8,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.244,21.244,21.244,21.244,21.244,21.244,21.244,21.244,21.244,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241,21.241
1960-07-01,14.7,14.7,14.7,14.7,14.7,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.392,22.392,22.392,22.392,22.392,22.392,22.392,22.392,22.392,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402,22.402
1960-10-01,14.6,14.6,14.6,14.6,14.6,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.368,22.368,22.368,22.368,22.368,22.368,22.368,22.368,22.368,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377,22.377
1961-01-01,16.2,16.2,16.2,16.2,16.2,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.264,24.264,24.264,24.264,24.264,24.264,24.264,24.264,24.264,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271,24.271
1961-04-01,15.7,15.7,15.7,15.7,15.7,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.008,24.008,24.008,24.008,24.008,24.008,24.008,24.008,24.008,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011,24.011
1961-07-01,16.4,16.4,16.4,16.4,16.4,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.848,24.848,24.848,24.848,24.848,24.848,24.848,24.848,24.848,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846,24.846
1961-10-01,16.9,16.9,16.9,16.9,16.9,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.468,25.468,25.468,25.468,25.468,25.468,25.468,25.468,25.468,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454,25.454
1962-01-01,17.4,17.4,17.4,17.4,17.4,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119,26.119
1962-04-01,17.0,17.0,17.0,17.0,17.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.004,26.004,26.004,26.004,26.004,26.004,26.004,26.004,26.004,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996,25.996
