observation_date,A918RC1Q027SBEA_20130228,A918RC1Q027SBEA_20130426,A918RC1Q027SBEA_20130731,A918RC1Q027SBEA_20130829,A918RC1Q027SBEA_20130926,A918RC1Q027SBEA_20131107,A918RC1Q027SBEA_20131205,A918RC1Q027SBEA_20131220,A918RC1Q027SBEA_20140130,A918RC1Q027SBEA_20140228,A918RC1Q027SBEA_20140327,A918RC1Q027SBEA_20140430,A918RC1Q027SBEA_20140529,A918RC1Q027SBEA_20140730,A918RC1Q027SBEA_20140828,A918RC1Q027SBEA_20140926,A918RC1Q027SBEA_20141030,A918RC1Q027SBEA_20141125,A918RC1Q027SBEA_20150130,A918RC1Q027SBEA_20150227,A918RC1Q027SBEA_20150429,A918RC1Q027SBEA_20150529,A918RC1Q027SBEA_20150624,A918RC1Q027SBEA_20150730,A918RC1Q027SBEA_20150827,A918RC1Q027SBEA_20151029,A918RC1Q027SBEA_20151124,A918RC1Q027SBEA_20151222,A918RC1Q027SBEA_20160129,A918RC1Q027SBEA_20160428,A918RC1Q027SBEA_20160527,A918RC1Q027SBEA_20160729,A918RC1Q027SBEA_20160826,A918RC1Q027SBEA_20161028,A918RC1Q027SBEA_20161129,A918RC1Q027SBEA_20170127,A918RC1Q027SBEA_20170428,A918RC1Q027SBEA_20170526,A918RC1Q027SBEA_20170728,A918RC1Q027SBEA_20170830,A918RC1Q027SBEA_20171027,A918RC1Q027SBEA_20171129,A918RC1Q027SBEA_20171221,A918RC1Q027SBEA_20180126,A918RC1Q027SBEA_20180228,A918RC1Q027SBEA_20180328,A918RC1Q027SBEA_20180427,A918RC1Q027SBEA_20180530,A918RC1Q027SBEA_20180628,A918RC1Q027SBEA_20180727,A918RC1Q027SBEA_20180829,A918RC1Q027SBEA_20180927,A918RC1Q027SBEA_20181026,A918RC1Q027SBEA_20181128,A918RC1Q027SBEA_20181221,A918RC1Q027SBEA_20190228,A918RC1Q027SBEA_20190328,A918RC1Q027SBEA_20190426,A918RC1Q027SBEA_20190530,A918RC1Q027SBEA_20190627,A918RC1Q027SBEA_20190726,A918RC1Q027SBEA_20190926,A918RC1Q027SBEA_20191030,A918RC1Q027SBEA_20191127,A918RC1Q027SBEA_20191220,A918RC1Q027SBEA_20200130,A918RC1Q027SBEA_20200227,A918RC1Q027SBEA_20200326,A918RC1Q027SBEA_20200429,A918RC1Q027SBEA_20200528,A918RC1Q027SBEA_20200625,A918RC1Q027SBEA_20200730,A918RC1Q027SBEA_20200827,A918RC1Q027SBEA_20200930,A918RC1Q027SBEA_20201029,A918RC1Q027SBEA_20201125,A918RC1Q027SBEA_20201222,A918RC1Q027SBEA_20210128,A918RC1Q027SBEA_20210225
1960-01-01,10.5,10.5,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.824,14.824,14.824,14.824,14.824,14.824,14.824,14.824,14.824,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853,14.853
1960-04-01,10.5,10.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07,15.07
1960-07-01,10.6,10.6,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.248,15.248,15.248,15.248,15.248,15.248,15.248,15.248,15.248,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275,15.275
1960-10-01,10.7,10.7,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.46,15.46,15.46,15.46,15.46,15.46,15.46,15.46,15.46,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469,15.469
1961-01-01,10.7,10.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.672,15.672,15.672,15.672,15.672,15.672,15.672,15.672,15.672,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689,15.689
1961-04-01,10.8,10.8,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.876,15.876,15.876,15.876,15.876,15.876,15.876,15.876,15.876,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891,15.891
1961-07-01,10.9,10.9,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.112,16.112,16.112,16.112,16.112,16.112,16.112,16.112,16.112,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15
1961-10-01,11.0,11.0,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.384,16.384,16.384,16.384,16.384,16.384,16.384,16.384,16.384,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404,16.404
1962-01-01,11.2,11.2,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.704,16.704,16.704,16.704,16.704,16.704,16.704,16.704,16.704,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717,16.717
1962-04-01,11.3,11.3,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.884,16.884,16.884,16.884,16.884,16.884,16.884,16.884,16.884,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92,16.92
