observation_date,A957RC1Q027SBEA_20130228,A957RC1Q027SBEA_20130328,A957RC1Q027SBEA_20130426,A957RC1Q027SBEA_20130530,A957RC1Q027SBEA_20130626,A957RC1Q027SBEA_20130731,A957RC1Q027SBEA_20130829,A957RC1Q027SBEA_20130926,A957RC1Q027SBEA_20131107,A957RC1Q027SBEA_20131205,A957RC1Q027SBEA_20131220,A957RC1Q027SBEA_20140130,A957RC1Q027SBEA_20140228,A957RC1Q027SBEA_20140327,A957RC1Q027SBEA_20140430,A957RC1Q027SBEA_20140529,A957RC1Q027SBEA_20140730,A957RC1Q027SBEA_20140926,A957RC1Q027SBEA_20141030,A957RC1Q027SBEA_20141125,A957RC1Q027SBEA_20141223,A957RC1Q027SBEA_20150130,A957RC1Q027SBEA_20150227,A957RC1Q027SBEA_20150327,A957RC1Q027SBEA_20150429,A957RC1Q027SBEA_20150529,A957RC1Q027SBEA_20150624,A957RC1Q027SBEA_20150730,A957RC1Q027SBEA_20150827,A957RC1Q027SBEA_20150925,A957RC1Q027SBEA_20151029,A957RC1Q027SBEA_20151124,A957RC1Q027SBEA_20151222,A957RC1Q027SBEA_20160129,A957RC1Q027SBEA_20160226,A957RC1Q027SBEA_20160325,A957RC1Q027SBEA_20160428,A957RC1Q027SBEA_20160527,A957RC1Q027SBEA_20160628,A957RC1Q027SBEA_20160729,A957RC1Q027SBEA_20160826,A957RC1Q027SBEA_20160929,A957RC1Q027SBEA_20161028,A957RC1Q027SBEA_20161222,A957RC1Q027SBEA_20170127,A957RC1Q027SBEA_20170228,A957RC1Q027SBEA_20170330,A957RC1Q027SBEA_20170428,A957RC1Q027SBEA_20170526,A957RC1Q027SBEA_20170629,A957RC1Q027SBEA_20170728,A957RC1Q027SBEA_20170830,A957RC1Q027SBEA_20171027,A957RC1Q027SBEA_20171129,A957RC1Q027SBEA_20171221,A957RC1Q027SBEA_20180126,A957RC1Q027SBEA_20180228,A957RC1Q027SBEA_20180328,A957RC1Q027SBEA_20180427,A957RC1Q027SBEA_20180530,A957RC1Q027SBEA_20180628,A957RC1Q027SBEA_20180727,A957RC1Q027SBEA_20180829,A957RC1Q027SBEA_20180927,A957RC1Q027SBEA_20181026,A957RC1Q027SBEA_20181128,A957RC1Q027SBEA_20181221,A957RC1Q027SBEA_20190228,A957RC1Q027SBEA_20190328,A957RC1Q027SBEA_20190426,A957RC1Q027SBEA_20190530,A957RC1Q027SBEA_20190627,A957RC1Q027SBEA_20190726,A957RC1Q027SBEA_20190829,A957RC1Q027SBEA_20190926,A957RC1Q027SBEA_20191030,A957RC1Q027SBEA_20191127,A957RC1Q027SBEA_20191220,A957RC1Q027SBEA_20200130,A957RC1Q027SBEA_20200227,A957RC1Q027SBEA_20200326,A957RC1Q027SBEA_20200429,A957RC1Q027SBEA_20200528,A957RC1Q027SBEA_20200625,A957RC1Q027SBEA_20200730,A957RC1Q027SBEA_20200827,A957RC1Q027SBEA_20200930,A957RC1Q027SBEA_20201029,A957RC1Q027SBEA_20201125,A957RC1Q027SBEA_20201222,A957RC1Q027SBEA_20210128,A957RC1Q027SBEA_20210225
1960-01-01,48.1,48.1,48.1,48.1,48.1,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.384,49.384,49.384,49.384,49.384,49.384,49.384,49.384,49.384,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415,49.415
1960-04-01,48.6,48.6,48.6,48.6,48.6,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.764,49.764,49.764,49.764,49.764,49.764,49.764,49.764,49.764,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824,49.824
1960-07-01,50.5,50.5,50.5,50.5,50.5,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.74,51.74,51.74,51.74,51.74,51.74,51.74,51.74,51.74,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759,51.759
1960-10-01,51.7,51.7,51.7,51.7,51.7,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.908,52.908,52.908,52.908,52.908,52.908,52.908,52.908,52.908,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914,52.914
1961-01-01,49.8,49.8,49.8,49.8,49.8,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01,51.01
1961-04-01,51.1,51.1,51.1,51.1,51.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.148,52.148,52.148,52.148,52.148,52.148,52.148,52.148,52.148,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163,52.163
1961-07-01,52.2,52.2,52.2,52.2,52.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.244,53.244,53.244,53.244,53.244,53.244,53.244,53.244,53.244,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29
1961-10-01,53.3,53.3,53.3,53.3,53.3,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.436,54.436,54.436,54.436,54.436,54.436,54.436,54.436,54.436,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472,54.472
1962-01-01,56.0,56.0,56.0,56.0,56.0,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.196,57.196,57.196,57.196,57.196,57.196,57.196,57.196,57.196,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212,57.212
1962-04-01,56.9,56.9,56.9,56.9,56.9,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.084,58.084,58.084,58.084,58.084,58.084,58.084,58.084,58.084,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131,58.131
