observation_date,AD08RC1Q027SBEA_20130228,AD08RC1Q027SBEA_20130426,AD08RC1Q027SBEA_20130731,AD08RC1Q027SBEA_20131107,AD08RC1Q027SBEA_20140130,AD08RC1Q027SBEA_20140228,AD08RC1Q027SBEA_20140327,AD08RC1Q027SBEA_20140430,AD08RC1Q027SBEA_20140730,AD08RC1Q027SBEA_20141030,AD08RC1Q027SBEA_20150130,AD08RC1Q027SBEA_20150227,AD08RC1Q027SBEA_20150429,AD08RC1Q027SBEA_20150730,AD08RC1Q027SBEA_20151029,AD08RC1Q027SBEA_20160129,AD08RC1Q027SBEA_20160226,AD08RC1Q027SBEA_20160428,AD08RC1Q027SBEA_20160729,AD08RC1Q027SBEA_20161028,AD08RC1Q027SBEA_20170127,AD08RC1Q027SBEA_20170428,AD08RC1Q027SBEA_20170728,AD08RC1Q027SBEA_20171027,AD08RC1Q027SBEA_20180126,AD08RC1Q027SBEA_20180427,AD08RC1Q027SBEA_20180727,AD08RC1Q027SBEA_20181026,AD08RC1Q027SBEA_20190228,AD08RC1Q027SBEA_20190328,AD08RC1Q027SBEA_20190426,AD08RC1Q027SBEA_20190726,AD08RC1Q027SBEA_20191030,AD08RC1Q027SBEA_20200130,AD08RC1Q027SBEA_20200227,AD08RC1Q027SBEA_20200429,AD08RC1Q027SBEA_20200730,AD08RC1Q027SBEA_20201029,AD08RC1Q027SBEA_20210128
1960-01-01,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291
1960-04-01,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519
1960-07-01,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535
1960-10-01,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459
1961-01-01,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.379,0.379,0.379,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378
1961-04-01,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.558
1961-07-01,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614
1961-10-01,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422,0.422
1962-01-01,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578
1962-04-01,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706
