observation_date,B075RC1Q027SBEA_20130228,B075RC1Q027SBEA_20130328,B075RC1Q027SBEA_20130530,B075RC1Q027SBEA_20130626,B075RC1Q027SBEA_20130731,B075RC1Q027SBEA_20130829,B075RC1Q027SBEA_20130926,B075RC1Q027SBEA_20131205,B075RC1Q027SBEA_20131220,B075RC1Q027SBEA_20140327,B075RC1Q027SBEA_20140529,B075RC1Q027SBEA_20140625,B075RC1Q027SBEA_20140730,B075RC1Q027SBEA_20140828,B075RC1Q027SBEA_20140926,B075RC1Q027SBEA_20141125,B075RC1Q027SBEA_20141223,B075RC1Q027SBEA_20150327,B075RC1Q027SBEA_20150529,B075RC1Q027SBEA_20150624,B075RC1Q027SBEA_20150730,B075RC1Q027SBEA_20150827,B075RC1Q027SBEA_20150925,B075RC1Q027SBEA_20151124,B075RC1Q027SBEA_20151222,B075RC1Q027SBEA_20160325,B075RC1Q027SBEA_20160527,B075RC1Q027SBEA_20160628,B075RC1Q027SBEA_20160729,B075RC1Q027SBEA_20160826,B075RC1Q027SBEA_20160929,B075RC1Q027SBEA_20161129,B075RC1Q027SBEA_20161222,B075RC1Q027SBEA_20170330,B075RC1Q027SBEA_20170526,B075RC1Q027SBEA_20170629,B075RC1Q027SBEA_20170728,B075RC1Q027SBEA_20170830,B075RC1Q027SBEA_20170928,B075RC1Q027SBEA_20171027,B075RC1Q027SBEA_20171129,B075RC1Q027SBEA_20171221,B075RC1Q027SBEA_20180328,B075RC1Q027SBEA_20180530,B075RC1Q027SBEA_20180628,B075RC1Q027SBEA_20180727,B075RC1Q027SBEA_20180829,B075RC1Q027SBEA_20180927,B075RC1Q027SBEA_20181128,B075RC1Q027SBEA_20181221,B075RC1Q027SBEA_20190328,B075RC1Q027SBEA_20190530,B075RC1Q027SBEA_20190627,B075RC1Q027SBEA_20190726,B075RC1Q027SBEA_20190829,B075RC1Q027SBEA_20190926,B075RC1Q027SBEA_20191127,B075RC1Q027SBEA_20191220,B075RC1Q027SBEA_20200326,B075RC1Q027SBEA_20200528,B075RC1Q027SBEA_20200625,B075RC1Q027SBEA_20200730,B075RC1Q027SBEA_20200827,B075RC1Q027SBEA_20200930,B075RC1Q027SBEA_20201125,B075RC1Q027SBEA_20201222
1960-01-01,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.644,23.644,23.644,23.644,23.644,23.644,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704,22.704
1960-04-01,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.72,21.72,21.72,21.72,21.72,21.72,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772,20.772
1960-07-01,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.736,20.736,20.736,20.736,20.736,20.736,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844,19.844
1960-10-01,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.688,19.688,19.688,19.688,19.688,19.688,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88
1961-01-01,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.396,19.396,19.396,19.396,19.396,19.396,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696
1961-04-01,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.74,20.74,20.74,20.74,20.74,20.74,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072,20.072
1961-07-01,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.964,21.964,21.964,21.964,21.964,21.964,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288,21.288
1961-10-01,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.864,23.864,23.864,23.864,23.864,23.864,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16
1962-01-01,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.296,22.296,22.296,22.296,22.296,22.296,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536,21.536
1962-04-01,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.068,22.068,22.068,22.068,22.068,22.068,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268,21.268
