observation_date,B096RC1Q027SBEA_20130228,B096RC1Q027SBEA_20130328,B096RC1Q027SBEA_20130426,B096RC1Q027SBEA_20130731,B096RC1Q027SBEA_20130926,B096RC1Q027SBEA_20131107,B096RC1Q027SBEA_20140130,B096RC1Q027SBEA_20140228,B096RC1Q027SBEA_20140327,B096RC1Q027SBEA_20140430,B096RC1Q027SBEA_20140529,B096RC1Q027SBEA_20140730,B096RC1Q027SBEA_20140926,B096RC1Q027SBEA_20141030,B096RC1Q027SBEA_20150130,B096RC1Q027SBEA_20150227,B096RC1Q027SBEA_20150327,B096RC1Q027SBEA_20150429,B096RC1Q027SBEA_20150730,B096RC1Q027SBEA_20150925,B096RC1Q027SBEA_20151029,B096RC1Q027SBEA_20151222,B096RC1Q027SBEA_20160129,B096RC1Q027SBEA_20160226,B096RC1Q027SBEA_20160325,B096RC1Q027SBEA_20160428,B096RC1Q027SBEA_20160729,B096RC1Q027SBEA_20160929,B096RC1Q027SBEA_20161028,B096RC1Q027SBEA_20161222,B096RC1Q027SBEA_20170127,B096RC1Q027SBEA_20170228,B096RC1Q027SBEA_20170428,B096RC1Q027SBEA_20170526,B096RC1Q027SBEA_20170728,B096RC1Q027SBEA_20170830,B096RC1Q027SBEA_20170928,B096RC1Q027SBEA_20171027,B096RC1Q027SBEA_20171221,B096RC1Q027SBEA_20180126,B096RC1Q027SBEA_20180228,B096RC1Q027SBEA_20180328,B096RC1Q027SBEA_20180427,B096RC1Q027SBEA_20180727,B096RC1Q027SBEA_20180927,B096RC1Q027SBEA_20181026,B096RC1Q027SBEA_20181221,B096RC1Q027SBEA_20190228,B096RC1Q027SBEA_20190426,B096RC1Q027SBEA_20190726,B096RC1Q027SBEA_20190829,B096RC1Q027SBEA_20190926,B096RC1Q027SBEA_20191030,B096RC1Q027SBEA_20191220,B096RC1Q027SBEA_20200130,B096RC1Q027SBEA_20200227,B096RC1Q027SBEA_20200429,B096RC1Q027SBEA_20200730,B096RC1Q027SBEA_20200827,B096RC1Q027SBEA_20200930,B096RC1Q027SBEA_20201029,B096RC1Q027SBEA_20201125,B096RC1Q027SBEA_20201222,B096RC1Q027SBEA_20210128,B096RC1Q027SBEA_20210225
1960-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024
1960-04-01,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
1960-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048
1960-10-01,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232
1961-01-01,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572,1.572
1961-04-01,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008,2.008
1961-07-01,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172
1961-10-01,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304,2.304
1962-01-01,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284,2.284
1962-04-01,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384,2.384
