observation_date,B232RC1Q027SBEA_20130228,B232RC1Q027SBEA_20130426,B232RC1Q027SBEA_20130731,B232RC1Q027SBEA_20131107,B232RC1Q027SBEA_20140130,B232RC1Q027SBEA_20140430,B232RC1Q027SBEA_20140730,B232RC1Q027SBEA_20141030,B232RC1Q027SBEA_20150130,B232RC1Q027SBEA_20150429,B232RC1Q027SBEA_20150730,B232RC1Q027SBEA_20151029,B232RC1Q027SBEA_20160129,B232RC1Q027SBEA_20160428,B232RC1Q027SBEA_20160729,B232RC1Q027SBEA_20161028,B232RC1Q027SBEA_20170127,B232RC1Q027SBEA_20170428,B232RC1Q027SBEA_20170728,B232RC1Q027SBEA_20171027,B232RC1Q027SBEA_20180126,B232RC1Q027SBEA_20180328,B232RC1Q027SBEA_20180427,B232RC1Q027SBEA_20180727,B232RC1Q027SBEA_20181026,B232RC1Q027SBEA_20190228,B232RC1Q027SBEA_20190426,B232RC1Q027SBEA_20190726,B232RC1Q027SBEA_20191030,B232RC1Q027SBEA_20191127,B232RC1Q027SBEA_20200130,B232RC1Q027SBEA_20200429,B232RC1Q027SBEA_20200730,B232RC1Q027SBEA_20201029,B232RC1Q027SBEA_20210128
1960-01-01,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.564,1.564,1.564,1.564,1.564,1.564,1.564,1.564,1.564,1.564,1.564,1.564,1.564,1.564,1.564,1.564
1960-04-01,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.776
1960-07-01,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.648,1.648,1.648,1.648,1.648,1.648,1.648,1.648,1.648,1.648,1.648,1.648,1.648,1.648,1.648,1.648
1960-10-01,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048
1961-01-01,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996,1.996
1961-04-01,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.832,1.832,1.832,1.832,1.832,1.832,1.832,1.832,1.832,1.832,1.832,1.832,1.832,1.832,1.832,1.832
1961-07-01,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.012
1961-10-01,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96
1962-01-01,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.868,1.868,1.868,1.868,1.868,1.868,1.868,1.868,1.868,1.868,1.868,1.868,1.868,1.868,1.868,1.868
1962-04-01,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156
