observation_date,COMPRNFB_19970311,COMPRNFB_19970507,COMPRNFB_19970618,COMPRNFB_19970812,COMPRNFB_19970909,COMPRNFB_19971113,COMPRNFB_19980210,COMPRNFB_19980310,COMPRNFB_19980507,COMPRNFB_19980604,COMPRNFB_19980811,COMPRNFB_19980903,COMPRNFB_19981110,COMPRNFB_19981203,COMPRNFB_19990209,COMPRNFB_19990309,COMPRNFB_19990511,COMPRNFB_19990805,COMPRNFB_19990902,COMPRNFB_19991112,COMPRNFB_20000208,COMPRNFB_20000307,COMPRNFB_20000504,COMPRNFB_20000808,COMPRNFB_20000906,COMPRNFB_20001102,COMPRNFB_20001206,COMPRNFB_20010207,COMPRNFB_20010306,COMPRNFB_20010508,COMPRNFB_20010807,COMPRNFB_20010905,COMPRNFB_20011107,COMPRNFB_20011206,COMPRNFB_20020206,COMPRNFB_20020307,COMPRNFB_20020507,COMPRNFB_20020531,COMPRNFB_20020809,COMPRNFB_20021107,COMPRNFB_20030206,COMPRNFB_20030306,COMPRNFB_20030501,COMPRNFB_20030807,COMPRNFB_20030904,COMPRNFB_20031106,COMPRNFB_20040205,COMPRNFB_20040304,COMPRNFB_20040506,COMPRNFB_20040603,COMPRNFB_20040810,COMPRNFB_20040902,COMPRNFB_20041013,COMPRNFB_20041104,COMPRNFB_20041207,COMPRNFB_20050203,COMPRNFB_20050303,COMPRNFB_20050505,COMPRNFB_20050602,COMPRNFB_20050809,COMPRNFB_20050907,COMPRNFB_20051103,COMPRNFB_20051206,COMPRNFB_20060202,COMPRNFB_20060307,COMPRNFB_20060504,COMPRNFB_20060601,COMPRNFB_20060808,COMPRNFB_20060906,COMPRNFB_20061102,COMPRNFB_20061205,COMPRNFB_20070207,COMPRNFB_20070306,COMPRNFB_20070503,COMPRNFB_20070606,COMPRNFB_20070807,COMPRNFB_20070906,COMPRNFB_20071107,COMPRNFB_20071205,COMPRNFB_20080206,COMPRNFB_20080305,COMPRNFB_20080507,COMPRNFB_20080604,COMPRNFB_20080808,COMPRNFB_20080904,COMPRNFB_20081106,COMPRNFB_20081203,COMPRNFB_20090205,COMPRNFB_20090305,COMPRNFB_20090507,COMPRNFB_20090604,COMPRNFB_20090811,COMPRNFB_20090902,COMPRNFB_20091105,COMPRNFB_20091203,COMPRNFB_20100204,COMPRNFB_20100304,COMPRNFB_20100506,COMPRNFB_20100603,COMPRNFB_20100810,COMPRNFB_20100902,COMPRNFB_20101104,COMPRNFB_20101201,COMPRNFB_20110203,COMPRNFB_20110303,COMPRNFB_20110505,COMPRNFB_20110602,COMPRNFB_20110809,COMPRNFB_20110901,COMPRNFB_20111103,COMPRNFB_20111130,COMPRNFB_20120202,COMPRNFB_20120307,COMPRNFB_20120503,COMPRNFB_20120606,COMPRNFB_20120808,COMPRNFB_20120905,COMPRNFB_20121101,COMPRNFB_20121205,COMPRNFB_20130207,COMPRNFB_20130307,COMPRNFB_20130502,COMPRNFB_20130605,COMPRNFB_20130816,COMPRNFB_20130905,COMPRNFB_20131114,COMPRNFB_20131216,COMPRNFB_20140206,COMPRNFB_20140306,COMPRNFB_20140507,COMPRNFB_20140604,COMPRNFB_20140808,COMPRNFB_20140904,COMPRNFB_20141106,COMPRNFB_20141203,COMPRNFB_20150205,COMPRNFB_20150305,COMPRNFB_20150506,COMPRNFB_20150604,COMPRNFB_20150811,COMPRNFB_20150902,COMPRNFB_20151105,COMPRNFB_20151202,COMPRNFB_20160204,COMPRNFB_20160303,COMPRNFB_20160504,COMPRNFB_20160607,COMPRNFB_20160809,COMPRNFB_20160901,COMPRNFB_20161103,COMPRNFB_20161206,COMPRNFB_20170202,COMPRNFB_20170308,COMPRNFB_20170504,COMPRNFB_20170605,COMPRNFB_20170809,COMPRNFB_20170907,COMPRNFB_20171102,COMPRNFB_20171206,COMPRNFB_20180201,COMPRNFB_20180307,COMPRNFB_20180503,COMPRNFB_20180606,COMPRNFB_20180815,COMPRNFB_20180906,COMPRNFB_20181101,COMPRNFB_20181206,COMPRNFB_20190206,COMPRNFB_20190307,COMPRNFB_20190502,COMPRNFB_20190606,COMPRNFB_20190815,COMPRNFB_20190905,COMPRNFB_20191106,COMPRNFB_20191210,COMPRNFB_20200206,COMPRNFB_20200305,COMPRNFB_20200507,COMPRNFB_20200604
1960-01-01,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,62.6,62.6,62.6,62.5,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.4,62.4,62.4,62.4,62.4,62.4,62.4,63.1,63.1,63.1,62.9,62.9,62.9,62.9,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.3,63.3,63.3,63.3,63.25,63.25,63.242,63.242,63.242,63.242,63.242,63.242,63.242,63.242,63.242,63.788,63.788,63.788,63.788,63.788,63.788,63.788,63.789,63.789,63.789,63.789,63.789,63.789,63.789,63.789,63.789,63.789,63.789,63.903,63.903,63.903,63.903,63.903,63.903,63.903,63.903,53.584,53.584,53.584,53.584,53.584,53.584,53.584,53.584,53.587,53.587,53.587,53.587,53.587,53.587,53.587,53.587,53.587,53.587,53.587,53.587,53.587,53.603,53.603,53.603,52.6,52.6,52.6,52.6,52.6,52.665,52.665,52.665,52.665,52.665,52.665,52.665,52.665,52.665,52.698,52.698,52.698,52.698,52.698,52.698,52.698,52.714,52.714,52.714,52.752,52.752,52.752,52.752,52.752,52.817,52.817,52.817,52.817,52.817,52.817,52.817,52.817,52.821,52.821,52.821,52.927,52.927,52.927,52.927,52.927,52.881,52.881,52.881,52.822,52.822,52.822,52.822,52.822,52.813,52.813,52.813
1960-04-01,67.7,67.7,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,62.6,62.6,62.6,62.5,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.4,62.4,62.4,62.4,62.4,62.4,62.4,63.1,63.1,63.1,62.9,62.9,62.9,62.9,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.243,63.243,63.235,63.235,63.235,63.235,63.235,63.235,63.235,63.235,63.235,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.781,63.896,63.896,63.896,63.896,63.896,63.896,63.896,63.896,53.578,53.578,53.578,53.578,53.578,53.578,53.578,53.578,53.581,53.581,53.581,53.581,53.581,53.581,53.581,53.581,53.581,53.581,53.581,53.581,53.581,53.597,53.597,53.597,52.621,52.621,52.621,52.621,52.621,52.686,52.686,52.686,52.686,52.686,52.686,52.686,52.686,52.686,52.72,52.72,52.72,52.72,52.72,52.72,52.72,52.735,52.735,52.735,52.774,52.774,52.774,52.774,52.774,52.839,52.839,52.839,52.839,52.839,52.839,52.839,52.839,52.842,52.842,52.842,52.949,52.949,52.949,52.949,52.949,52.91,52.91,52.91,52.852,52.852,52.852,52.852,52.852,52.843,52.843,52.843
1960-07-01,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,63.0,63.0,63.0,62.8,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.8,62.8,62.8,62.8,62.8,62.8,62.8,63.5,63.5,63.5,63.2,63.2,63.2,63.2,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.567,63.567,63.559,63.559,63.559,63.559,63.559,63.559,63.559,63.559,63.559,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.224,64.224,64.224,64.224,64.224,64.224,64.224,64.224,53.853,53.853,53.853,53.853,53.853,53.853,53.853,53.853,53.856,53.856,53.856,53.856,53.856,53.856,53.856,53.856,53.856,53.856,53.856,53.856,53.856,53.871,53.871,53.871,52.909,52.909,52.909,52.909,52.909,52.975,52.975,52.975,52.975,52.975,52.975,52.975,52.975,52.975,53.008,53.008,53.008,53.008,53.008,53.008,53.008,53.024,53.024,53.024,53.063,53.063,53.063,53.063,53.063,53.128,53.128,53.128,53.128,53.128,53.128,53.128,53.128,53.132,53.132,53.132,53.239,53.239,53.239,53.239,53.239,53.199,53.199,53.199,53.141,53.141,53.141,53.141,53.141,53.131,53.131,53.131
1960-10-01,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,63.0,63.0,63.0,62.8,63.1,63.1,63.1,63.1,63.1,63.1,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.8,62.8,62.8,62.8,62.8,62.8,62.8,63.4,63.4,63.4,63.1,63.1,63.1,63.1,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.434,63.434,63.426,63.426,63.426,63.426,63.426,63.426,63.426,63.426,63.426,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,63.974,64.089,64.089,64.089,64.089,64.089,64.089,64.089,64.089,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.74,53.743,53.743,53.743,53.743,53.743,53.743,53.743,53.743,53.743,53.743,53.743,53.743,53.743,53.759,53.759,53.759,52.803,52.803,52.803,52.803,52.803,52.868,52.868,52.868,52.868,52.868,52.868,52.868,52.868,52.868,52.902,52.902,52.902,52.902,52.902,52.902,52.902,52.917,52.917,52.917,52.956,52.956,52.956,52.956,52.956,53.021,53.021,53.021,53.021,53.021,53.021,53.021,53.021,53.024,53.024,53.024,53.13,53.13,53.13,53.13,53.13,53.092,53.092,53.092,53.033,53.033,53.033,53.033,53.033,53.024,53.024,53.024
1961-01-01,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,63.4,63.4,63.4,63.3,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.9,63.9,63.9,63.6,63.6,63.6,63.6,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.873,63.873,63.865,63.865,63.865,63.865,63.865,63.865,63.865,63.865,63.865,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.416,64.532,64.532,64.532,64.532,64.532,64.532,64.532,64.532,54.112,54.112,54.112,54.112,54.112,54.112,54.112,54.112,54.115,54.115,54.115,54.115,54.115,54.115,54.115,54.115,54.115,54.115,54.115,54.115,54.115,54.13,54.13,54.13,53.158,53.158,53.158,53.158,53.158,53.224,53.224,53.224,53.224,53.224,53.224,53.224,53.224,53.224,53.258,53.258,53.258,53.258,53.258,53.258,53.258,53.273,53.273,53.273,53.312,53.312,53.312,53.312,53.312,53.378,53.378,53.378,53.378,53.378,53.378,53.378,53.378,53.381,53.381,53.381,53.488,53.488,53.488,53.488,53.488,53.451,53.451,53.451,53.392,53.392,53.392,53.392,53.392,53.382,53.382,53.382
1961-04-01,69.4,69.4,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,64.2,64.2,64.2,64.1,64.4,64.4,64.4,64.4,64.4,64.4,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.8,64.8,64.8,64.5,64.5,64.5,64.5,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.796,64.796,64.787,64.787,64.787,64.787,64.787,64.787,64.787,64.787,64.787,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.347,65.465,65.465,65.465,65.465,65.465,65.465,65.465,65.465,54.893,54.893,54.893,54.893,54.893,54.893,54.893,54.893,54.897,54.897,54.897,54.897,54.897,54.897,54.897,54.897,54.897,54.897,54.897,54.897,54.897,54.912,54.912,54.912,53.919,53.919,53.919,53.919,53.919,53.986,53.986,53.986,53.986,53.986,53.986,53.986,53.986,53.986,54.02,54.02,54.02,54.02,54.02,54.02,54.02,54.036,54.036,54.036,54.076,54.076,54.076,54.076,54.076,54.142,54.142,54.142,54.142,54.142,54.142,54.142,54.142,54.146,54.146,54.146,54.253,54.253,54.253,54.253,54.253,54.215,54.215,54.215,54.155,54.155,54.155,54.155,54.155,54.145,54.145,54.145
1961-07-01,69.6,69.6,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,64.4,64.4,64.4,64.3,64.6,64.6,64.6,64.6,64.6,64.6,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.4,64.4,64.3,64.3,64.3,64.3,64.3,65.0,65.0,65.0,64.7,64.7,64.7,64.7,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.024,65.024,65.015,65.015,65.015,65.015,65.015,65.015,65.015,65.015,65.015,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.577,65.695,65.695,65.695,65.695,65.695,65.695,65.695,65.695,55.087,55.087,55.087,55.087,55.087,55.087,55.087,55.087,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.09,55.106,55.106,55.106,54.11,54.11,54.11,54.11,54.11,54.178,54.178,54.178,54.178,54.178,54.178,54.178,54.178,54.177,54.212,54.212,54.212,54.212,54.212,54.212,54.212,54.228,54.228,54.228,54.267,54.267,54.267,54.267,54.267,54.334,54.334,54.334,54.334,54.334,54.334,54.334,54.334,54.338,54.338,54.338,54.446,54.446,54.446,54.446,54.446,54.408,54.408,54.408,54.348,54.348,54.348,54.348,54.348,54.338,54.338,54.338
1961-10-01,70.1,70.1,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,64.9,64.9,64.9,64.7,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,64.8,64.8,64.8,64.8,64.8,64.8,64.8,65.4,65.4,65.4,65.1,65.1,65.1,65.1,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.4,65.394,65.394,65.385,65.385,65.385,65.385,65.385,65.385,65.385,65.385,65.385,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,65.95,66.069,66.069,66.069,66.069,66.069,66.069,66.069,66.069,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.403,55.403,55.403,55.403,55.403,55.403,55.403,55.403,55.403,55.403,55.403,55.403,55.403,55.419,55.419,55.419,54.427,54.427,54.427,54.427,54.427,54.494,54.494,54.494,54.495,54.495,54.495,54.495,54.495,54.494,54.529,54.529,54.529,54.529,54.529,54.529,54.529,54.545,54.545,54.545,54.585,54.585,54.585,54.585,54.585,54.652,54.652,54.652,54.652,54.652,54.652,54.652,54.652,54.656,54.656,54.656,54.765,54.765,54.765,54.765,54.765,54.722,54.722,54.722,54.662,54.662,54.662,54.662,54.662,54.652,54.652,54.652
1962-01-01,71.0,71.0,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,65.7,65.7,65.7,65.6,65.9,65.9,65.9,65.9,65.9,65.9,65.8,65.8,65.8,65.8,65.8,65.8,65.8,65.6,65.6,65.6,65.6,65.6,65.6,65.6,66.2,66.2,66.2,65.9,65.9,65.9,65.9,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.197,66.197,66.188,66.188,66.188,66.188,66.188,66.188,66.188,66.188,66.188,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.76,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,56.08,56.08,56.08,56.08,56.08,56.08,56.08,56.08,56.084,56.084,56.084,56.084,56.084,56.084,56.084,56.084,56.084,56.084,56.084,56.084,56.084,56.1,56.1,56.1,55.081,55.081,55.081,55.081,55.081,55.149,55.149,55.149,55.149,55.149,55.149,55.149,55.149,55.149,55.184,55.184,55.184,55.184,55.184,55.184,55.184,55.2,55.2,55.2,55.24,55.24,55.24,55.24,55.24,55.308,55.308,55.308,55.308,55.308,55.308,55.308,55.308,55.312,55.312,55.312,55.422,55.422,55.422,55.422,55.422,55.379,55.379,55.379,55.318,55.318,55.318,55.318,55.318,55.308,55.308,55.308
1962-04-01,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,71.1,65.9,65.9,65.9,65.7,66.0,66.0,66.0,66.0,66.0,66.0,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.8,65.8,65.7,65.7,65.7,65.7,65.7,66.4,66.4,66.4,66.0,66.0,66.0,66.0,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.38,66.38,66.372,66.372,66.372,66.372,66.372,66.372,66.372,66.372,66.372,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,66.945,67.066,67.066,67.066,67.066,67.066,67.066,67.066,67.066,56.236,56.236,56.236,56.236,56.236,56.236,56.236,56.236,56.239,56.239,56.239,56.239,56.239,56.239,56.239,56.239,56.239,56.239,56.239,56.239,56.239,56.255,56.255,56.255,55.241,55.241,55.241,55.241,55.241,55.309,55.309,55.309,55.309,55.309,55.309,55.309,55.309,55.309,55.344,55.344,55.344,55.344,55.344,55.344,55.344,55.36,55.36,55.36,55.401,55.401,55.401,55.401,55.401,55.469,55.469,55.469,55.469,55.469,55.469,55.469,55.469,55.473,55.473,55.473,55.583,55.583,55.583,55.583,55.583,55.541,55.541,55.541,55.479,55.479,55.479,55.479,55.479,55.47,55.47,55.47
