observation_date,DDURRD3Q086SBEA_20130228,DDURRD3Q086SBEA_20130426,DDURRD3Q086SBEA_20130731,DDURRD3Q086SBEA_20140110,DDURRD3Q086SBEA_20140130,DDURRD3Q086SBEA_20140228,DDURRD3Q086SBEA_20140430,DDURRD3Q086SBEA_20140529,DDURRD3Q086SBEA_20140625,DDURRD3Q086SBEA_20140730,DDURRD3Q086SBEA_20140828,DDURRD3Q086SBEA_20140926,DDURRD3Q086SBEA_20141030,DDURRD3Q086SBEA_20141125,DDURRD3Q086SBEA_20141223,DDURRD3Q086SBEA_20150130,DDURRD3Q086SBEA_20150227,DDURRD3Q086SBEA_20150327,DDURRD3Q086SBEA_20150429,DDURRD3Q086SBEA_20150529,DDURRD3Q086SBEA_20150624,DDURRD3Q086SBEA_20150730,DDURRD3Q086SBEA_20150827,DDURRD3Q086SBEA_20150925,DDURRD3Q086SBEA_20151029,DDURRD3Q086SBEA_20151124,DDURRD3Q086SBEA_20151222,DDURRD3Q086SBEA_20160129,DDURRD3Q086SBEA_20160226,DDURRD3Q086SBEA_20160325,DDURRD3Q086SBEA_20160428,DDURRD3Q086SBEA_20160527,DDURRD3Q086SBEA_20160628,DDURRD3Q086SBEA_20160729,DDURRD3Q086SBEA_20160826,DDURRD3Q086SBEA_20160929,DDURRD3Q086SBEA_20161028,DDURRD3Q086SBEA_20161129,DDURRD3Q086SBEA_20161222,DDURRD3Q086SBEA_20170127,DDURRD3Q086SBEA_20170228,DDURRD3Q086SBEA_20170330,DDURRD3Q086SBEA_20170428,DDURRD3Q086SBEA_20170526,DDURRD3Q086SBEA_20170629,DDURRD3Q086SBEA_20170728,DDURRD3Q086SBEA_20170830,DDURRD3Q086SBEA_20170928,DDURRD3Q086SBEA_20171027,DDURRD3Q086SBEA_20171129,DDURRD3Q086SBEA_20171221,DDURRD3Q086SBEA_20180126,DDURRD3Q086SBEA_20180228,DDURRD3Q086SBEA_20180328,DDURRD3Q086SBEA_20180427,DDURRD3Q086SBEA_20180530,DDURRD3Q086SBEA_20180628,DDURRD3Q086SBEA_20180727,DDURRD3Q086SBEA_20180829,DDURRD3Q086SBEA_20180927,DDURRD3Q086SBEA_20181026,DDURRD3Q086SBEA_20181128,DDURRD3Q086SBEA_20181221,DDURRD3Q086SBEA_20190228,DDURRD3Q086SBEA_20190328,DDURRD3Q086SBEA_20190426,DDURRD3Q086SBEA_20190530,DDURRD3Q086SBEA_20190627,DDURRD3Q086SBEA_20190726,DDURRD3Q086SBEA_20190829,DDURRD3Q086SBEA_20190926,DDURRD3Q086SBEA_20191030,DDURRD3Q086SBEA_20191127,DDURRD3Q086SBEA_20200130,DDURRD3Q086SBEA_20200227,DDURRD3Q086SBEA_20200326,DDURRD3Q086SBEA_20200429,DDURRD3Q086SBEA_20200528,DDURRD3Q086SBEA_20200625,DDURRD3Q086SBEA_20200730
1960-01-01,50.779,50.779,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062
1960-04-01,50.718,50.718,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994
1960-07-01,50.564,50.564,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,54.325,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819,56.819
1960-10-01,50.472,50.472,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,54.226,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718,56.718
1961-01-01,50.479,50.479,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,54.234,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725,56.725
1961-04-01,50.716,50.716,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,54.489,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992,56.992
1961-07-01,50.949,50.949,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,54.738,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252,57.252
1961-10-01,50.885,50.885,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,54.67,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182,57.182
1962-01-01,50.895,50.895,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193,57.193
1962-04-01,50.963,50.963,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,54.753,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269
1962-07-01,51.131,51.131,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,54.933,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458,57.458
1962-10-01,50.929,50.929,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,54.717,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231,57.231
1963-01-01,50.943,50.943,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,54.732,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248,57.248
1963-04-01,51.099,51.099,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,54.899,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421,57.421
1963-07-01,51.241,51.241,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,55.052,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582,57.582
1963-10-01,51.403,51.403,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,55.226,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764,57.764
1964-01-01,51.478,51.478,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,55.307,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849,57.849
