observation_date,DNDGRD3Q086SBEA_20130228,DNDGRD3Q086SBEA_20130328,DNDGRD3Q086SBEA_20130426,DNDGRD3Q086SBEA_20130530,DNDGRD3Q086SBEA_20130626,DNDGRD3Q086SBEA_20130731,DNDGRD3Q086SBEA_20140110,DNDGRD3Q086SBEA_20140130,DNDGRD3Q086SBEA_20140228,DNDGRD3Q086SBEA_20140327,DNDGRD3Q086SBEA_20140430,DNDGRD3Q086SBEA_20140529,DNDGRD3Q086SBEA_20140730,DNDGRD3Q086SBEA_20140828,DNDGRD3Q086SBEA_20140926,DNDGRD3Q086SBEA_20141030,DNDGRD3Q086SBEA_20141223,DNDGRD3Q086SBEA_20150130,DNDGRD3Q086SBEA_20150227,DNDGRD3Q086SBEA_20150327,DNDGRD3Q086SBEA_20150429,DNDGRD3Q086SBEA_20150529,DNDGRD3Q086SBEA_20150624,DNDGRD3Q086SBEA_20150730,DNDGRD3Q086SBEA_20150827,DNDGRD3Q086SBEA_20151029,DNDGRD3Q086SBEA_20151222,DNDGRD3Q086SBEA_20160129,DNDGRD3Q086SBEA_20160226,DNDGRD3Q086SBEA_20160325,DNDGRD3Q086SBEA_20160428,DNDGRD3Q086SBEA_20160527,DNDGRD3Q086SBEA_20160628,DNDGRD3Q086SBEA_20160729,DNDGRD3Q086SBEA_20160826,DNDGRD3Q086SBEA_20161028,DNDGRD3Q086SBEA_20161129,DNDGRD3Q086SBEA_20161222,DNDGRD3Q086SBEA_20170127,DNDGRD3Q086SBEA_20170228,DNDGRD3Q086SBEA_20170330,DNDGRD3Q086SBEA_20170428,DNDGRD3Q086SBEA_20170526,DNDGRD3Q086SBEA_20170629,DNDGRD3Q086SBEA_20170728,DNDGRD3Q086SBEA_20170928,DNDGRD3Q086SBEA_20171027,DNDGRD3Q086SBEA_20171129,DNDGRD3Q086SBEA_20171221,DNDGRD3Q086SBEA_20180126,DNDGRD3Q086SBEA_20180228,DNDGRD3Q086SBEA_20180328,DNDGRD3Q086SBEA_20180427,DNDGRD3Q086SBEA_20180530,DNDGRD3Q086SBEA_20180628,DNDGRD3Q086SBEA_20180727,DNDGRD3Q086SBEA_20180927,DNDGRD3Q086SBEA_20181026,DNDGRD3Q086SBEA_20181128,DNDGRD3Q086SBEA_20190228,DNDGRD3Q086SBEA_20190328,DNDGRD3Q086SBEA_20190426,DNDGRD3Q086SBEA_20190530,DNDGRD3Q086SBEA_20190726,DNDGRD3Q086SBEA_20190829,DNDGRD3Q086SBEA_20191030,DNDGRD3Q086SBEA_20191127,DNDGRD3Q086SBEA_20191220,DNDGRD3Q086SBEA_20200130,DNDGRD3Q086SBEA_20200227,DNDGRD3Q086SBEA_20200429,DNDGRD3Q086SBEA_20200528,DNDGRD3Q086SBEA_20200625,DNDGRD3Q086SBEA_20200730,DNDGRD3Q086SBEA_20200827,DNDGRD3Q086SBEA_20200930,DNDGRD3Q086SBEA_20201029
1960-01-01,21.784,21.784,21.784,21.784,21.784,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914,17.914
1960-04-01,21.941,21.941,21.941,21.941,21.941,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,20.156,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043,18.043
1960-07-01,22.006,22.006,22.006,22.006,22.006,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,20.215,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097,18.097
1960-10-01,22.13,22.13,22.13,22.13,22.13,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199,18.199
1961-01-01,22.164,22.164,22.164,22.164,22.164,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,20.361,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226,18.226
1961-04-01,22.009,22.009,22.009,22.009,22.009,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,20.218,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099
1961-07-01,22.05,22.05,22.05,22.05,22.05,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,20.256,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133,18.133
1961-10-01,22.008,22.008,22.008,22.008,22.008,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,20.217,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099,18.099
1962-01-01,22.094,22.094,22.094,22.094,22.094,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,20.296,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169,18.169
1962-04-01,22.152,22.152,22.152,22.152,22.152,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217,18.217
