observation_date,DSERRD3Q086SBEA_20130228,DSERRD3Q086SBEA_20130328,DSERRD3Q086SBEA_20130426,DSERRD3Q086SBEA_20130530,DSERRD3Q086SBEA_20130626,DSERRD3Q086SBEA_20130731,DSERRD3Q086SBEA_20140110,DSERRD3Q086SBEA_20140130,DSERRD3Q086SBEA_20140228,DSERRD3Q086SBEA_20140327,DSERRD3Q086SBEA_20140430,DSERRD3Q086SBEA_20140529,DSERRD3Q086SBEA_20140625,DSERRD3Q086SBEA_20140730,DSERRD3Q086SBEA_20140828,DSERRD3Q086SBEA_20140926,DSERRD3Q086SBEA_20141030,DSERRD3Q086SBEA_20141125,DSERRD3Q086SBEA_20141223,DSERRD3Q086SBEA_20150130,DSERRD3Q086SBEA_20150227,DSERRD3Q086SBEA_20150327,DSERRD3Q086SBEA_20150429,DSERRD3Q086SBEA_20150529,DSERRD3Q086SBEA_20150624,DSERRD3Q086SBEA_20150730,DSERRD3Q086SBEA_20150827,DSERRD3Q086SBEA_20150925,DSERRD3Q086SBEA_20151029,DSERRD3Q086SBEA_20151124,DSERRD3Q086SBEA_20151222,DSERRD3Q086SBEA_20160129,DSERRD3Q086SBEA_20160226,DSERRD3Q086SBEA_20160325,DSERRD3Q086SBEA_20160428,DSERRD3Q086SBEA_20160527,DSERRD3Q086SBEA_20160628,DSERRD3Q086SBEA_20160729,DSERRD3Q086SBEA_20160826,DSERRD3Q086SBEA_20160929,DSERRD3Q086SBEA_20161028,DSERRD3Q086SBEA_20161129,DSERRD3Q086SBEA_20161222,DSERRD3Q086SBEA_20170127,DSERRD3Q086SBEA_20170228,DSERRD3Q086SBEA_20170330,DSERRD3Q086SBEA_20170428,DSERRD3Q086SBEA_20170526,DSERRD3Q086SBEA_20170629,DSERRD3Q086SBEA_20170728,DSERRD3Q086SBEA_20170830,DSERRD3Q086SBEA_20170928,DSERRD3Q086SBEA_20171027,DSERRD3Q086SBEA_20171129,DSERRD3Q086SBEA_20171221,DSERRD3Q086SBEA_20180126,DSERRD3Q086SBEA_20180228,DSERRD3Q086SBEA_20180328,DSERRD3Q086SBEA_20180427,DSERRD3Q086SBEA_20180530,DSERRD3Q086SBEA_20180628,DSERRD3Q086SBEA_20180727,DSERRD3Q086SBEA_20180829,DSERRD3Q086SBEA_20180927,DSERRD3Q086SBEA_20181026,DSERRD3Q086SBEA_20181128,DSERRD3Q086SBEA_20181221,DSERRD3Q086SBEA_20190228,DSERRD3Q086SBEA_20190328,DSERRD3Q086SBEA_20190426,DSERRD3Q086SBEA_20190530,DSERRD3Q086SBEA_20190627,DSERRD3Q086SBEA_20190726,DSERRD3Q086SBEA_20190829,DSERRD3Q086SBEA_20190926,DSERRD3Q086SBEA_20191030,DSERRD3Q086SBEA_20191127,DSERRD3Q086SBEA_20191220,DSERRD3Q086SBEA_20200130,DSERRD3Q086SBEA_20200227,DSERRD3Q086SBEA_20200326,DSERRD3Q086SBEA_20200429,DSERRD3Q086SBEA_20200528,DSERRD3Q086SBEA_20200625,DSERRD3Q086SBEA_20200730,DSERRD3Q086SBEA_20200827,DSERRD3Q086SBEA_20200930,DSERRD3Q086SBEA_20201029
1960-01-01,13.453,13.453,13.453,13.453,13.453,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,12.509,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724,11.724
1960-04-01,13.527,13.527,13.527,13.527,13.527,12.577,12.577,12.577,12.577,12.577,12.577,12.577,12.577,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,12.578,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789,11.789
1960-07-01,13.617,13.617,13.617,13.617,13.617,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,12.661,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865,11.865
1960-10-01,13.688,13.688,13.688,13.688,13.688,12.727,12.727,12.727,12.727,12.727,12.727,12.727,12.727,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,12.728,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926,11.926
1961-01-01,13.723,13.723,13.723,13.723,13.723,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,12.76,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957,11.957
1961-04-01,13.783,13.783,13.783,13.783,13.783,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.816,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008,12.008
1961-07-01,13.849,13.849,13.849,13.849,13.849,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.878,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065,12.065
1961-10-01,13.909,13.909,13.909,13.909,13.909,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.933,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115,12.115
1962-01-01,13.991,13.991,13.991,13.991,13.991,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186,12.186
1962-04-01,14.059,14.059,14.059,14.059,14.059,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,13.073,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246,12.246
