observation_date,HMLBSHNO_20100610,HMLBSHNO_20100917,HMLBSHNO_20101209,HMLBSHNO_20110310,HMLBSHNO_20110609,HMLBSHNO_20110916,HMLBSHNO_20111208,HMLBSHNO_20120308,HMLBSHNO_20120607,HMLBSHNO_20120920,HMLBSHNO_20121206,HMLBSHNO_20130307,HMLBSHNO_20130606,HMLBSHNO_20130925,HMLBSHNO_20131209,HMLBSHNO_20140306,HMLBSHNO_20140605,HMLBSHNO_20140918,HMLBSHNO_20141211,HMLBSHNO_20150312,HMLBSHNO_20150611,HMLBSHNO_20150918,HMLBSHNO_20151210,HMLBSHNO_20160310,HMLBSHNO_20160609,HMLBSHNO_20160916,HMLBSHNO_20161208,HMLBSHNO_20170309,HMLBSHNO_20170608,HMLBSHNO_20170921,HMLBSHNO_20171207,HMLBSHNO_20180308,HMLBSHNO_20180607,HMLBSHNO_20180920,HMLBSHNO_20181206,HMLBSHNO_20190307,HMLBSHNO_20190606,HMLBSHNO_20190920,HMLBSHNO_20191212,HMLBSHNO_20200312,HMLBSHNO_20200611
1960-01-01,132.53,132.53,132.53,132.53,132.53,132.53,132.53,132.53,132.53,132.53,132.53,132.53,132.53,132.53,132.53,132.53,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58
1960-04-01,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.31,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.366,135.366,135.366,135.366,135.366,135.366,135.366,135.366,135.366
1960-07-01,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.58,138.58,138.58,138.58,138.58,138.58,138.58,138.58,138.58,138.58,138.58,138.58,138.58,138.58,138.58,138.58,138.582,138.582,138.582,138.582,138.582,138.582,138.582,138.582,138.582
1960-10-01,141.32,141.32,141.32,141.32,141.32,141.32,141.32,141.32,141.32,141.32,141.32,141.32,141.32,141.32,141.32,141.32,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.378,141.378,141.378,141.378,141.378,141.378,141.378,141.378,141.378
1961-01-01,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.6,143.65,143.65,143.65,143.65,143.65,143.65,143.65,143.65,143.65,143.65,143.65,143.65,143.65,143.65,143.65,143.65,143.645,143.645,143.645,143.645,143.645,143.645,143.645,143.645,143.645
1961-04-01,146.55,146.55,146.55,146.55,146.55,146.55,146.55,146.55,146.55,146.55,146.55,146.55,146.55,146.55,146.55,146.55,146.6,146.6,146.6,146.6,146.6,146.6,146.6,146.6,146.6,146.6,146.6,146.6,146.6,146.6,146.6,146.6,146.603,146.603,146.603,146.603,146.603,146.603,146.603,146.603,146.603
1961-07-01,150.13,150.13,150.13,150.13,150.13,150.13,150.13,150.13,150.13,150.13,150.13,150.13,150.13,150.13,150.13,150.13,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.179,150.179,150.179,150.179,150.179,150.179,150.179,150.179,150.179
1961-10-01,153.98,153.98,153.98,153.98,153.98,153.98,153.98,153.98,153.98,153.98,153.98,153.98,153.98,153.98,153.98,153.98,154.03,154.03,154.03,154.03,154.03,154.03,154.03,154.03,154.03,154.03,154.03,154.03,154.03,154.03,154.03,154.03,154.027,154.027,154.027,154.027,154.027,154.027,154.027,154.027,154.027
1962-01-01,156.44,156.44,156.44,156.44,156.44,156.44,156.44,156.44,156.44,156.44,156.44,156.44,156.44,156.44,156.44,156.44,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.49,156.488,156.488,156.488,156.488,156.488,156.488,156.488,156.488,156.488
1962-04-01,160.19,160.19,160.19,160.19,160.19,160.19,160.19,160.19,160.19,160.19,160.19,160.19,160.19,160.19,160.19,160.19,160.24,160.24,160.24,160.24,160.24,160.24,160.24,160.24,160.24,160.24,160.24,160.24,160.24,160.24,160.24,160.24,160.237,160.237,160.237,160.237,160.237,160.237,160.237,160.237,160.237
1962-07-01,164.29,164.29,164.29,164.29,164.29,164.29,164.29,164.29,164.29,164.29,164.29,164.29,164.29,164.29,164.29,164.29,164.35,164.35,164.35,164.35,164.35,164.35,164.35,164.35,164.35,164.35,164.35,164.35,164.35,164.35,164.35,164.35,164.345,164.345,164.345,164.345,164.345,164.345,164.345,164.345,164.345
1962-10-01,168.26,168.26,168.26,168.26,168.26,168.26,168.26,168.26,168.26,168.26,168.26,168.26,168.26,168.26,168.26,168.26,168.31,168.31,168.31,168.31,168.31,168.31,168.31,168.31,168.31,168.31,168.31,168.31,168.31,168.31,168.31,168.31,168.307,168.307,168.307,168.307,168.307,168.307,168.307,168.307,168.307
1963-01-01,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.35,171.35,171.35,171.35,171.35,171.35,171.35,171.35,171.35,171.35,171.35,171.35,171.35,171.35,171.35,171.35,171.352,171.352,171.352,171.352,171.352,171.352,171.352,171.352,171.352
1963-04-01,175.75,175.75,175.75,175.75,175.75,175.75,175.75,175.75,175.75,175.75,175.75,175.75,175.75,175.75,175.75,175.75,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.8,175.801,175.801,175.801,175.801,175.801,175.801,175.801,175.801,175.801
1963-07-01,180.61,180.61,180.61,180.61,180.61,180.61,180.61,180.61,180.61,180.61,180.61,180.61,180.61,180.61,180.61,180.61,180.66,180.66,180.66,180.66,180.66,180.66,180.66,180.66,180.66,180.66,180.66,180.66,180.66,180.66,180.66,180.66,180.662,180.662,180.662,180.662,180.662,180.662,180.662,180.662,180.662
1963-10-01,185.05,185.05,185.05,185.05,185.05,185.05,185.05,185.05,185.05,185.05,185.05,185.05,185.05,185.05,185.05,185.05,185.11,185.11,185.11,185.11,185.11,185.11,185.11,185.11,185.11,185.11,185.11,185.11,185.11,185.11,185.11,185.11,185.106,185.106,185.106,185.106,185.106,185.106,185.106,185.106,185.106
1964-01-01,188.72,188.72,188.72,188.72,188.72,188.72,188.72,188.72,188.72,188.72,188.72,188.72,188.72,188.72,188.72,188.72,188.78,188.78,188.78,188.78,188.78,188.78,188.78,188.78,188.78,188.78,188.78,188.78,188.78,188.78,188.78,188.78,188.776,188.776,188.776,188.776,188.776,188.776,188.776,188.776,188.776
1964-04-01,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.32,193.37,193.37,193.37,193.37,193.37,193.37,193.37,193.37,193.37,193.37,193.37,193.37,193.37,193.37,193.37,193.37,193.368,193.368,193.368,193.368,193.368,193.368,193.368,193.368,193.368
1964-07-01,198.02,198.02,198.02,198.02,198.02,198.02,198.02,198.02,198.02,198.02,198.02,198.02,198.02,198.02,198.02,198.02,198.08,198.08,198.08,198.08,198.08,198.08,198.08,198.08,198.08,198.08,198.08,198.08,198.08,198.08,198.08,198.08,198.076,198.076,198.076,198.076,198.076,198.076,198.076,198.076,198.076
1964-10-01,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.28,202.34,202.34,202.34,202.34,202.34,202.34,202.34,202.34,202.34,202.34,202.34,202.34,202.34,202.34,202.34,202.34,202.335,202.335,202.335,202.335,202.335,202.335,202.335,202.335,202.335
1965-01-01,205.84,205.84,205.84,205.84,205.84,205.84,205.84,205.84,205.84,205.84,205.84,205.84,205.84,205.84,205.84,205.84,205.89,205.89,205.89,205.89,205.89,205.89,205.89,205.89,205.89,205.89,205.89,205.89,205.89,205.89,205.89,205.89,205.891,205.891,205.891,205.891,205.891,205.891,205.891,205.891,205.891
1965-04-01,210.28,210.28,210.28,210.28,210.28,210.28,210.28,210.28,210.28,210.28,210.28,210.28,210.28,210.28,210.28,210.28,210.33,210.33,210.33,210.33,210.33,210.33,210.33,210.33,210.33,210.33,210.33,210.33,210.33,210.33,210.33,210.33,210.329,210.329,210.329,210.329,210.329,210.329,210.329,210.329,210.329
1965-07-01,214.99,214.99,214.99,214.99,214.99,214.99,214.99,214.99,214.99,214.99,214.99,214.99,214.99,214.99,214.99,214.99,215.04,215.04,215.04,215.04,215.04,215.04,215.04,215.04,215.04,215.04,215.04,215.04,215.04,215.04,215.04,215.04,215.042,215.042,215.042,215.042,215.042,215.042,215.042,215.042,215.042
1965-10-01,219.4,219.4,219.4,219.4,219.4,219.4,219.4,219.4,219.4,219.4,219.4,219.4,219.4,219.4,219.4,219.4,219.45,219.45,219.45,219.45,219.45,219.45,219.45,219.45,219.45,219.45,219.45,219.45,219.45,219.45,219.45,219.45,219.449,219.449,219.449,219.449,219.449,219.449,219.449,219.449,219.449
1966-01-01,223.31,223.31,223.31,223.31,223.31,223.31,223.31,223.31,223.31,223.31,223.31,223.31,223.31,223.31,223.31,223.31,223.36,223.36,223.36,223.36,223.36,223.36,223.36,223.36,223.36,223.36,223.36,223.36,223.36,223.36,223.36,223.36,223.358,223.358,223.358,223.358,223.358,223.358,223.358,223.358,223.358
1966-04-01,227.18,227.18,227.18,227.18,227.18,227.18,227.18,227.18,227.18,227.18,227.18,227.18,227.18,227.18,227.18,227.18,227.23,227.23,227.23,227.23,227.23,227.23,227.23,227.23,227.23,227.23,227.23,227.23,227.23,227.23,227.23,227.23,227.232,227.232,227.232,227.232,227.232,227.232,227.232,227.232,227.232
1966-07-01,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.22,230.27,230.27,230.27,230.27,230.27,230.27,230.27,230.27,230.27,230.27,230.27,230.27,230.27,230.27,230.27,230.27,230.272,230.272,230.272,230.272,230.272,230.272,230.272,230.272,230.272
1966-10-01,232.69,232.69,232.69,232.69,232.69,232.69,232.69,232.69,232.69,232.69,232.69,232.69,232.69,232.69,232.69,232.69,232.74,232.74,232.74,232.74,232.74,232.74,232.74,232.74,232.74,232.74,232.74,232.74,232.74,232.74,232.74,232.74,232.742,232.742,232.742,232.742,232.742,232.742,232.742,232.742,232.742
1967-01-01,234.17,234.17,234.17,234.17,234.17,234.17,234.17,234.17,234.17,234.17,234.17,234.17,234.17,234.17,234.17,234.17,234.22,234.22,234.22,234.22,234.22,234.22,234.22,234.22,234.22,234.22,234.22,234.22,234.22,234.22,234.22,234.22,234.221,234.221,234.221,234.221,234.221,234.221,234.221,234.221,234.221
