observation_date,HOANBS_19990805,HOANBS_19991112,HOANBS_20000208,HOANBS_20000504,HOANBS_20000808,HOANBS_20000906,HOANBS_20001102,HOANBS_20010207,HOANBS_20010306,HOANBS_20010508,HOANBS_20010605,HOANBS_20010807,HOANBS_20010905,HOANBS_20011107,HOANBS_20011206,HOANBS_20020206,HOANBS_20020507,HOANBS_20020531,HOANBS_20020809,HOANBS_20021107,HOANBS_20030206,HOANBS_20030501,HOANBS_20030807,HOANBS_20031106,HOANBS_20031203,HOANBS_20040205,HOANBS_20040304,HOANBS_20040506,HOANBS_20040603,HOANBS_20040810,HOANBS_20041104,HOANBS_20050203,HOANBS_20050303,HOANBS_20050505,HOANBS_20050602,HOANBS_20050809,HOANBS_20050907,HOANBS_20051103,HOANBS_20051206,HOANBS_20060202,HOANBS_20060307,HOANBS_20060504,HOANBS_20060601,HOANBS_20060808,HOANBS_20060906,HOANBS_20061102,HOANBS_20061205,HOANBS_20070207,HOANBS_20070306,HOANBS_20070503,HOANBS_20070606,HOANBS_20070807,HOANBS_20070906,HOANBS_20071107,HOANBS_20071205,HOANBS_20080206,HOANBS_20080305,HOANBS_20080507,HOANBS_20080604,HOANBS_20080808,HOANBS_20080904,HOANBS_20081106,HOANBS_20081203,HOANBS_20090205,HOANBS_20090305,HOANBS_20090507,HOANBS_20090604,HOANBS_20090811,HOANBS_20090902,HOANBS_20091105,HOANBS_20091203,HOANBS_20100204,HOANBS_20100304,HOANBS_20100506,HOANBS_20100603,HOANBS_20100810,HOANBS_20100902,HOANBS_20101104,HOANBS_20101201,HOANBS_20110203,HOANBS_20110303,HOANBS_20110505,HOANBS_20110602,HOANBS_20110809,HOANBS_20110901,HOANBS_20111103,HOANBS_20111130,HOANBS_20120202,HOANBS_20120307,HOANBS_20120503,HOANBS_20120606,HOANBS_20120808,HOANBS_20120905,HOANBS_20121101,HOANBS_20121205,HOANBS_20130207,HOANBS_20130307,HOANBS_20130502,HOANBS_20130605,HOANBS_20130816,HOANBS_20130905,HOANBS_20131114,HOANBS_20131216,HOANBS_20140206,HOANBS_20140306,HOANBS_20140507,HOANBS_20140604,HOANBS_20140808,HOANBS_20140904,HOANBS_20141106,HOANBS_20141203,HOANBS_20150205,HOANBS_20150305,HOANBS_20150506,HOANBS_20150604,HOANBS_20150811,HOANBS_20150902,HOANBS_20151105,HOANBS_20151202,HOANBS_20160204,HOANBS_20160303,HOANBS_20160504,HOANBS_20160607,HOANBS_20160809,HOANBS_20160901,HOANBS_20161103,HOANBS_20161206,HOANBS_20170202,HOANBS_20170308,HOANBS_20170504,HOANBS_20170605,HOANBS_20170809,HOANBS_20170907,HOANBS_20171102,HOANBS_20171206,HOANBS_20180201,HOANBS_20180307,HOANBS_20180503,HOANBS_20180606,HOANBS_20180815,HOANBS_20180906,HOANBS_20181101,HOANBS_20181206,HOANBS_20190206,HOANBS_20190307,HOANBS_20190502,HOANBS_20190606,HOANBS_20190815,HOANBS_20190905,HOANBS_20191106,HOANBS_20191210,HOANBS_20200206,HOANBS_20200305,HOANBS_20200507,HOANBS_20200604,HOANBS_20200814
1960-01-01,62.3,62.3,62.3,62.3,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,61.6,61.6,61.6,61.8,61.8,61.8,61.8,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.482,61.482,61.477,61.477,61.477,61.477,61.477,61.477,61.477,61.477,61.477,61.477,61.477,61.477,61.477,61.477,61.477,61.477,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,61.476,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.632,51.63,51.63,51.63,51.63,51.63,51.63,51.63,51.63,51.63,51.63,51.63,51.63,51.63,51.616,51.616,51.616,55.027,55.027,55.027,55.027,55.027,54.965,54.965,54.965,54.965,54.965,54.965,54.965,54.965,54.965,54.965,54.965,54.965,54.965,54.965,54.965,54.965,54.95,54.95,54.95,54.914,54.914,54.914,54.914,54.914,54.852,54.852,54.852,54.852,54.852,54.852,54.852,54.852,54.849,54.849,54.849,52.645,52.645,52.645,52.645,52.645,52.685,52.685,52.685,52.738,52.738,52.738,52.738,52.738,52.747,52.747,52.747,52.747
1960-04-01,62.4,62.4,62.4,62.4,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,61.6,61.6,61.6,61.9,61.9,61.9,61.9,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.59,61.59,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,51.724,51.724,51.724,51.724,51.724,51.724,51.724,51.724,51.721,51.721,51.721,51.721,51.721,51.721,51.721,51.721,51.721,51.721,51.721,51.721,51.721,51.708,51.708,51.708,55.124,55.124,55.124,55.124,55.124,55.062,55.062,55.062,55.062,55.062,55.062,55.062,55.062,55.062,55.062,55.062,55.062,55.062,55.062,55.062,55.062,55.047,55.047,55.047,55.011,55.011,55.011,55.011,55.011,54.949,54.949,54.949,54.949,54.949,54.949,54.949,54.949,54.946,54.946,54.946,52.738,52.738,52.738,52.738,52.738,52.771,52.771,52.771,52.824,52.824,52.824,52.824,52.824,52.833,52.833,52.833,52.833
1960-07-01,62.0,62.0,62.0,62.0,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.3,61.3,61.3,61.6,61.6,61.6,61.6,61.3,61.3,61.3,61.3,61.3,61.2,61.2,61.2,61.2,61.241,61.241,61.237,61.237,61.237,61.237,61.237,61.237,61.237,61.237,61.237,61.237,61.237,61.237,61.237,61.237,61.237,61.237,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,61.236,51.431,51.431,51.431,51.431,51.431,51.431,51.431,51.431,51.428,51.428,51.428,51.428,51.428,51.428,51.428,51.428,51.428,51.428,51.428,51.428,51.428,51.415,51.415,51.415,54.811,54.811,54.811,54.811,54.811,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.735,54.735,54.735,54.699,54.699,54.699,54.699,54.699,54.638,54.638,54.638,54.638,54.638,54.638,54.638,54.638,54.634,54.634,54.634,52.439,52.439,52.439,52.439,52.439,52.472,52.472,52.472,52.525,52.525,52.525,52.525,52.525,52.534,52.534,52.534,52.534
1960-10-01,61.3,61.3,61.3,61.3,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,60.7,60.7,60.7,61.0,61.0,61.0,61.0,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.673,60.673,60.668,60.668,60.668,60.668,60.668,60.668,60.668,60.668,60.668,60.668,60.668,60.668,60.668,60.668,60.668,60.668,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,60.667,50.953,50.953,50.953,50.953,50.953,50.953,50.953,50.953,50.95,50.95,50.95,50.95,50.95,50.95,50.95,50.95,50.95,50.95,50.95,50.95,50.95,50.937,50.937,50.937,54.302,54.302,54.302,54.302,54.302,54.241,54.241,54.241,54.241,54.241,54.241,54.241,54.241,54.242,54.242,54.242,54.242,54.242,54.242,54.242,54.242,54.227,54.227,54.227,54.191,54.191,54.191,54.191,54.191,54.13,54.13,54.13,54.13,54.13,54.13,54.13,54.13,54.127,54.127,54.127,51.952,51.952,51.952,51.952,51.952,51.984,51.984,51.984,52.037,52.037,52.037,52.037,52.037,52.045,52.045,52.045,52.045
1961-01-01,61.0,61.0,61.0,61.0,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.3,60.3,60.3,60.7,60.7,60.7,60.7,60.4,60.4,60.4,60.4,60.4,60.3,60.3,60.3,60.3,60.332,60.332,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,60.327,50.667,50.667,50.667,50.667,50.667,50.667,50.667,50.667,50.664,50.664,50.664,50.664,50.664,50.664,50.664,50.664,50.664,50.664,50.664,50.664,50.664,50.651,50.651,50.651,53.997,53.997,53.997,53.997,53.997,53.937,53.937,53.937,53.937,53.937,53.937,53.937,53.937,53.937,53.937,53.937,53.937,53.937,53.937,53.937,53.937,53.922,53.922,53.922,53.887,53.887,53.887,53.887,53.887,53.826,53.826,53.826,53.826,53.826,53.826,53.826,53.826,53.823,53.823,53.823,51.66,51.66,51.66,51.66,51.66,51.691,51.691,51.691,51.744,51.744,51.744,51.744,51.744,51.752,51.752,51.752,51.752
1961-04-01,60.9,60.9,60.9,60.9,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.1,60.1,60.1,60.5,60.5,60.5,60.5,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.192,60.192,60.187,60.187,60.187,60.187,60.187,60.187,60.187,60.187,60.187,60.187,60.187,60.187,60.187,60.187,60.187,60.187,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,60.186,50.549,50.549,50.549,50.549,50.549,50.549,50.549,50.549,50.546,50.546,50.546,50.546,50.546,50.546,50.546,50.546,50.546,50.546,50.546,50.546,50.546,50.533,50.533,50.533,53.872,53.872,53.872,53.872,53.872,53.811,53.811,53.811,53.811,53.811,53.811,53.811,53.811,53.811,53.811,53.811,53.811,53.811,53.811,53.811,53.811,53.797,53.797,53.797,53.761,53.761,53.761,53.761,53.761,53.701,53.701,53.701,53.701,53.701,53.701,53.701,53.701,53.698,53.698,53.698,51.54,51.54,51.54,51.54,51.54,51.572,51.572,51.572,51.624,51.624,51.624,51.624,51.624,51.632,51.632,51.632,51.632
1961-07-01,61.3,61.3,61.3,61.3,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,60.5,60.5,60.5,60.9,60.9,60.9,60.9,60.6,60.6,60.6,60.6,60.6,60.5,60.5,60.5,60.5,60.545,60.545,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,60.54,50.846,50.846,50.846,50.846,50.846,50.846,50.846,50.846,50.843,50.843,50.843,50.843,50.843,50.843,50.843,50.843,50.843,50.843,50.843,50.843,50.843,50.83,50.83,50.83,54.188,54.188,54.188,54.188,54.188,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.113,54.113,54.113,54.077,54.077,54.077,54.077,54.077,54.016,54.016,54.016,54.016,54.016,54.016,54.016,54.016,54.013,54.013,54.013,51.842,51.842,51.842,51.842,51.842,51.874,51.874,51.874,51.927,51.927,51.927,51.927,51.927,51.935,51.935,51.935,51.935
1961-10-01,62.0,62.0,62.0,62.0,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.2,61.2,61.2,61.6,61.6,61.6,61.6,61.4,61.4,61.4,61.4,61.4,61.3,61.3,61.3,61.3,61.315,61.315,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.31,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,61.309,51.492,51.492,51.492,51.492,51.492,51.492,51.492,51.492,51.489,51.489,51.489,51.489,51.489,51.489,51.489,51.489,51.489,51.489,51.489,51.489,51.489,51.476,51.476,51.476,54.877,54.877,54.877,54.877,54.877,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.801,54.801,54.801,54.764,54.764,54.764,54.764,54.764,54.703,54.703,54.703,54.703,54.703,54.703,54.703,54.703,54.7,54.7,54.7,52.501,52.501,52.501,52.501,52.501,52.537,52.537,52.537,52.59,52.59,52.59,52.59,52.59,52.599,52.599,52.599,52.599
1962-01-01,62.2,62.2,62.2,62.2,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,61.5,61.5,61.5,61.9,61.9,61.9,61.9,61.6,61.6,61.6,61.6,61.6,61.5,61.5,61.5,61.5,61.54,61.54,61.535,61.535,61.535,61.535,61.535,61.535,61.535,61.535,61.535,61.535,61.535,61.535,61.535,61.535,61.535,61.535,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,61.534,51.681,51.681,51.681,51.681,51.681,51.681,51.681,51.681,51.678,51.678,51.678,51.678,51.678,51.678,51.678,51.678,51.678,51.678,51.678,51.678,51.678,51.665,51.665,51.665,55.078,55.078,55.078,55.078,55.078,55.016,55.016,55.016,55.016,55.016,55.016,55.016,55.016,55.017,55.017,55.017,55.017,55.017,55.017,55.017,55.017,55.002,55.002,55.002,54.965,54.965,54.965,54.965,54.965,54.904,54.904,54.904,54.904,54.904,54.904,54.904,54.904,54.901,54.901,54.901,52.694,52.694,52.694,52.694,52.694,52.73,52.73,52.73,52.783,52.783,52.783,52.783,52.783,52.792,52.792,52.792,52.792
1962-04-01,63.0,63.0,63.0,63.0,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.2,62.2,62.2,62.6,62.6,62.6,62.6,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.273,62.273,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,62.268,52.297,52.297,52.297,52.297,52.297,52.297,52.297,52.297,52.294,52.294,52.294,52.294,52.294,52.294,52.294,52.294,52.294,52.294,52.294,52.294,52.294,52.281,52.281,52.281,55.735,55.735,55.735,55.735,55.735,55.672,55.672,55.672,55.672,55.672,55.672,55.672,55.672,55.672,55.672,55.672,55.672,55.672,55.672,55.672,55.672,55.658,55.658,55.658,55.621,55.621,55.621,55.621,55.621,55.558,55.558,55.558,55.558,55.558,55.558,55.558,55.558,55.555,55.555,55.555,53.323,53.323,53.323,53.323,53.323,53.358,53.358,53.358,53.412,53.412,53.412,53.412,53.412,53.42,53.42,53.42,53.42
