observation_date,PRS85006023_20110303,PRS85006023_20110505,PRS85006023_20110602,PRS85006023_20110809,PRS85006023_20110901,PRS85006023_20111103,PRS85006023_20111130,PRS85006023_20120202,PRS85006023_20120307,PRS85006023_20120503,PRS85006023_20120606,PRS85006023_20120808,PRS85006023_20120905,PRS85006023_20121101,PRS85006023_20121205,PRS85006023_20130207,PRS85006023_20130307,PRS85006023_20130502,PRS85006023_20130605,PRS85006023_20130816,PRS85006023_20130905,PRS85006023_20131114,PRS85006023_20131216,PRS85006023_20140206,PRS85006023_20140306,PRS85006023_20140507,PRS85006023_20140604,PRS85006023_20140808,PRS85006023_20140904,PRS85006023_20141106,PRS85006023_20141203,PRS85006023_20150205,PRS85006023_20150305,PRS85006023_20150506,PRS85006023_20150604,PRS85006023_20150811,PRS85006023_20150902,PRS85006023_20151105,PRS85006023_20151202,PRS85006023_20160204,PRS85006023_20160303,PRS85006023_20160504,PRS85006023_20160607,PRS85006023_20160809,PRS85006023_20160901,PRS85006023_20161103,PRS85006023_20161206,PRS85006023_20170202,PRS85006023_20170308,PRS85006023_20170504,PRS85006023_20170605,PRS85006023_20170809,PRS85006023_20170907,PRS85006023_20171102,PRS85006023_20171206,PRS85006023_20180201,PRS85006023_20180307,PRS85006023_20180503,PRS85006023_20180606,PRS85006023_20180815,PRS85006023_20180906,PRS85006023_20181101,PRS85006023_20181206,PRS85006023_20190206,PRS85006023_20190307,PRS85006023_20190502,PRS85006023_20190606,PRS85006023_20190815,PRS85006023_20190905,PRS85006023_20191106,PRS85006023_20191210,PRS85006023_20200206,PRS85006023_20200305
1960-01-01,114.066,114.066,114.066,114.065,114.065,114.065,114.065,114.065,114.065,114.065,114.065,114.065,114.065,114.065,114.065,114.065,114.081,114.081,114.081,116.504,116.504,116.504,116.504,116.504,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.519,116.522,116.522,116.522,116.522,116.522,116.391,116.391,116.391,116.391,116.391,116.391,116.391,116.391,116.385,116.385,116.385,114.31,114.31,114.31,114.31,114.31,114.393,114.393,114.393,114.509,114.509,114.509,114.509,114.509,114.509
1960-04-01,114.126,114.126,114.126,114.125,114.125,114.125,114.125,114.125,114.125,114.125,114.125,114.125,114.125,114.125,114.125,114.125,114.141,114.141,114.141,116.566,116.566,116.566,116.566,116.566,116.58,116.58,116.58,116.58,116.58,116.58,116.58,116.58,116.581,116.581,116.581,116.581,116.581,116.581,116.581,116.581,116.581,116.581,116.581,116.584,116.584,116.584,116.584,116.584,116.453,116.453,116.453,116.453,116.453,116.453,116.453,116.453,116.447,116.447,116.447,114.371,114.371,114.371,114.371,114.371,114.447,114.447,114.447,114.563,114.563,114.563,114.563,114.563,114.564
1960-07-01,114.241,114.241,114.241,114.24,114.24,114.24,114.24,114.24,114.24,114.24,114.24,114.24,114.24,114.24,114.24,114.24,114.256,114.256,114.256,116.683,116.683,116.683,116.683,116.683,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.698,116.701,116.701,116.701,116.701,116.701,116.57,116.57,116.57,116.57,116.57,116.57,116.57,116.57,116.564,116.564,116.564,114.486,114.486,114.486,114.486,114.486,114.561,114.561,114.561,114.676,114.676,114.676,114.676,114.676,114.677
1960-10-01,113.766,113.766,113.766,113.765,113.765,113.765,113.765,113.765,113.765,113.765,113.765,113.765,113.765,113.765,113.765,113.765,113.781,113.781,113.781,116.198,116.198,116.198,116.198,116.198,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.213,116.216,116.216,116.216,116.216,116.216,116.086,116.086,116.086,116.086,116.086,116.086,116.086,116.086,116.08,116.08,116.08,114.01,114.01,114.01,114.01,114.01,114.08,114.08,114.08,114.196,114.196,114.196,114.196,114.196,114.197
1961-01-01,113.539,113.539,113.539,113.538,113.538,113.538,113.538,113.538,113.538,113.538,113.538,113.538,113.538,113.538,113.538,113.538,113.554,113.554,113.554,115.966,115.966,115.966,115.966,115.966,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.981,115.984,115.984,115.984,115.984,115.984,115.854,115.854,115.854,115.854,115.854,115.854,115.854,115.854,115.848,115.848,115.848,113.782,113.782,113.782,113.782,113.782,113.851,113.851,113.851,113.966,113.966,113.966,113.966,113.966,113.967
1961-04-01,113.496,113.496,113.496,113.495,113.495,113.495,113.495,113.495,113.495,113.495,113.495,113.495,113.495,113.495,113.495,113.495,113.511,113.511,113.511,115.923,115.923,115.923,115.923,115.923,115.937,115.937,115.937,115.937,115.937,115.937,115.937,115.937,115.937,115.937,115.937,115.937,115.937,115.937,115.937,115.937,115.938,115.938,115.938,115.94,115.94,115.94,115.94,115.94,115.81,115.81,115.81,115.81,115.81,115.81,115.81,115.81,115.804,115.804,115.804,113.739,113.739,113.739,113.739,113.739,113.809,113.809,113.809,113.924,113.924,113.924,113.924,113.924,113.925
1961-07-01,113.659,113.659,113.659,113.658,113.658,113.658,113.658,113.658,113.658,113.658,113.658,113.658,113.658,113.658,113.658,113.658,113.674,113.674,113.674,116.089,116.089,116.089,116.089,116.089,116.103,116.103,116.103,116.103,116.103,116.103,116.103,116.103,116.104,116.104,116.104,116.104,116.104,116.104,116.104,116.104,116.104,116.104,116.104,116.106,116.106,116.106,116.106,116.106,115.976,115.976,115.976,115.976,115.976,115.976,115.976,115.976,115.97,115.97,115.97,113.902,113.902,113.902,113.902,113.902,113.974,113.974,113.974,114.09,114.09,114.09,114.09,114.09,114.091
1961-10-01,114.093,114.093,114.093,114.092,114.092,114.092,114.092,114.092,114.092,114.092,114.092,114.092,114.092,114.092,114.092,114.092,114.109,114.109,114.109,116.533,116.533,116.533,116.533,116.533,116.547,116.547,116.547,116.547,116.547,116.547,116.547,116.547,116.548,116.548,116.548,116.548,116.548,116.548,116.548,116.548,116.548,116.548,116.548,116.55,116.55,116.55,116.55,116.55,116.42,116.42,116.42,116.42,116.42,116.42,116.42,116.42,116.414,116.414,116.414,114.338,114.338,114.338,114.338,114.338,114.413,114.413,114.413,114.529,114.529,114.529,114.529,114.529,114.529
1962-01-01,113.805,113.805,113.805,113.804,113.804,113.804,113.804,113.804,113.804,113.804,113.804,113.804,113.804,113.804,113.804,113.804,113.82,113.82,113.82,116.238,116.238,116.238,116.238,116.238,116.252,116.252,116.252,116.252,116.252,116.252,116.252,116.252,116.253,116.253,116.253,116.253,116.253,116.253,116.253,116.253,116.253,116.253,116.253,116.255,116.255,116.255,116.255,116.255,116.125,116.125,116.125,116.125,116.125,116.125,116.125,116.125,116.119,116.119,116.119,114.049,114.049,114.049,114.049,114.049,114.123,114.123,114.123,114.239,114.239,114.239,114.239,114.239,114.239
1962-04-01,114.338,114.338,114.338,114.337,114.337,114.337,114.337,114.337,114.337,114.337,114.337,114.337,114.337,114.337,114.337,114.337,114.354,114.354,114.354,116.783,116.783,116.783,116.783,116.783,116.797,116.797,116.797,116.797,116.797,116.797,116.797,116.797,116.798,116.798,116.798,116.798,116.798,116.798,116.798,116.798,116.798,116.798,116.798,116.8,116.8,116.8,116.8,116.8,116.669,116.669,116.669,116.669,116.669,116.669,116.669,116.669,116.663,116.663,116.663,114.583,114.583,114.583,114.583,114.583,114.659,114.659,114.659,114.775,114.775,114.775,114.775,114.775,114.776
