observation_date,TOTLQ_20150619,TOTLQ_20150717,TOTLQ_20150821,TOTLQ_20150918,TOTLQ_20151016,TOTLQ_20151120,TOTLQ_20151218,TOTLQ_20160122,TOTLQ_20160219,TOTLQ_20160318,TOTLQ_20160415,TOTLQ_20160520,TOTLQ_20160617,TOTLQ_20160722,TOTLQ_20160819,TOTLQ_20160916,TOTLQ_20161021,TOTLQ_20161118,TOTLQ_20161216,TOTLQ_20170120,TOTLQ_20170217,TOTLQ_20170324,TOTLQ_20170421,TOTLQ_20170519,TOTLQ_20170619,TOTLQ_20170721,TOTLQ_20170818,TOTLQ_20170915,TOTLQ_20171024,TOTLQ_20171117,TOTLQ_20171222,TOTLQ_20180119,TOTLQ_20180216,TOTLQ_20180323,TOTLQ_20180420,TOTLQ_20180518,TOTLQ_20180615,TOTLQ_20180720,TOTLQ_20180824,TOTLQ_20180921,TOTLQ_20181019,TOTLQ_20181116,TOTLQ_20181221,TOTLQ_20190118,TOTLQ_20190307,TOTLQ_20190606,TOTLQ_20190815,TOTLQ_20190905,TOTLQ_20191106,TOTLQ_20191115,TOTLQ_20191210,TOTLQ_20200221,TOTLQ_20200417,TOTLQ_20200522,TOTLQ_20200619,TOTLQ_20200717,TOTLQ_20200821,TOTLQ_20200918,TOTLQ_20201016
1964-01-01,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.562,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.782,110.928,110.928,110.928,110.928,110.928,110.928,110.928,110.928,110.928,110.928,110.928,110.928,110.928,110.928
1964-04-01,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,111.817,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.036,112.181,112.181,112.181,112.181,112.181,112.181,112.181,112.181,112.181,112.181,112.181,112.181,112.181,112.181
1964-07-01,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.668,112.883,112.883,112.883,112.883,112.883,112.883,112.883,112.883,112.883,112.883,112.883,112.883,112.883,112.883,112.883,112.883,112.883,113.031,113.031,113.031,113.031,113.031,113.031,113.031,113.031,113.031,113.031,113.031,113.031,113.031,113.031
1964-10-01,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,113.87,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.086,114.241,114.241,114.241,114.241,114.241,114.241,114.241,114.241,114.241,114.241,114.241,114.241,114.241,114.241
1965-01-01,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.614,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.982,115.982,115.982,115.982,115.982,115.982,115.982,115.982,115.982,115.982,115.982,115.982,115.982,115.982
1965-04-01,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.724,116.937,116.937,116.937,116.937,116.937,116.937,116.937,116.937,116.937,116.937,116.937,116.937,116.937,116.937,116.937,116.937,116.937,117.091,117.091,117.091,117.091,117.091,117.091,117.091,117.091,117.091,117.091,117.091,117.091,117.091,117.091
1965-07-01,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.711,117.922,117.922,117.922,117.922,117.922,117.922,117.922,117.922,117.922,117.922,117.922,117.922,117.922,117.922,117.922,117.922,117.922,118.082,118.082,118.082,118.082,118.082,118.082,118.082,118.082,118.082,118.082,118.082,118.082,118.082,118.082
1965-10-01,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.215,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.428,119.593,119.593,119.593,119.593,119.593,119.593,119.593,119.593,119.593,119.593,119.593,119.593,119.593,119.593
1966-01-01,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.269,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.49,121.655,121.655,121.655,121.655,121.655,121.655,121.655,121.655,121.655,121.655,121.655,121.655,121.655,121.655
1966-04-01,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.567,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.796,122.965,122.965,122.965,122.965,122.965,122.965,122.965,122.965,122.965,122.965,122.965,122.965,122.965,122.965
