observation_date,W006RC1Q027SBEA_20130228,W006RC1Q027SBEA_20130328,W006RC1Q027SBEA_20130530,W006RC1Q027SBEA_20130626,W006RC1Q027SBEA_20130731,W006RC1Q027SBEA_20130829,W006RC1Q027SBEA_20130926,W006RC1Q027SBEA_20131205,W006RC1Q027SBEA_20131220,W006RC1Q027SBEA_20140228,W006RC1Q027SBEA_20140327,W006RC1Q027SBEA_20140529,W006RC1Q027SBEA_20140625,W006RC1Q027SBEA_20140730,W006RC1Q027SBEA_20140828,W006RC1Q027SBEA_20140926,W006RC1Q027SBEA_20141125,W006RC1Q027SBEA_20141223,W006RC1Q027SBEA_20150227,W006RC1Q027SBEA_20150327,W006RC1Q027SBEA_20150529,W006RC1Q027SBEA_20150624,W006RC1Q027SBEA_20150730,W006RC1Q027SBEA_20150827,W006RC1Q027SBEA_20150925,W006RC1Q027SBEA_20151124,W006RC1Q027SBEA_20151222,W006RC1Q027SBEA_20160226,W006RC1Q027SBEA_20160325,W006RC1Q027SBEA_20160527,W006RC1Q027SBEA_20160628,W006RC1Q027SBEA_20160729,W006RC1Q027SBEA_20160826,W006RC1Q027SBEA_20160929,W006RC1Q027SBEA_20161129,W006RC1Q027SBEA_20161222,W006RC1Q027SBEA_20170228,W006RC1Q027SBEA_20170330,W006RC1Q027SBEA_20170526,W006RC1Q027SBEA_20170629,W006RC1Q027SBEA_20170728,W006RC1Q027SBEA_20170830,W006RC1Q027SBEA_20170928,W006RC1Q027SBEA_20171027,W006RC1Q027SBEA_20171129,W006RC1Q027SBEA_20171221,W006RC1Q027SBEA_20180228,W006RC1Q027SBEA_20180328,W006RC1Q027SBEA_20180530,W006RC1Q027SBEA_20180628,W006RC1Q027SBEA_20180727,W006RC1Q027SBEA_20180829,W006RC1Q027SBEA_20180927,W006RC1Q027SBEA_20181128,W006RC1Q027SBEA_20181221,W006RC1Q027SBEA_20190228,W006RC1Q027SBEA_20190328,W006RC1Q027SBEA_20190530,W006RC1Q027SBEA_20190627,W006RC1Q027SBEA_20190726,W006RC1Q027SBEA_20190829,W006RC1Q027SBEA_20190926,W006RC1Q027SBEA_20191127,W006RC1Q027SBEA_20191220,W006RC1Q027SBEA_20200227,W006RC1Q027SBEA_20200326,W006RC1Q027SBEA_20200528,W006RC1Q027SBEA_20200625,W006RC1Q027SBEA_20200730,W006RC1Q027SBEA_20200827,W006RC1Q027SBEA_20200930,W006RC1Q027SBEA_20201125,W006RC1Q027SBEA_20201222,W006RC1Q027SBEA_20210225
1960-01-01,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.124,78.124,78.124,78.124,78.124,78.124,78.124,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184,77.184
1960-04-01,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.764,76.764,76.764,76.764,76.764,76.764,76.764,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816,75.816
1960-07-01,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.132,76.132,76.132,76.132,76.132,76.132,76.132,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24,75.24
1960-10-01,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.788,74.788,74.788,74.788,74.788,74.788,74.788,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98,73.98
1961-01-01,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.52,74.52,74.52,74.52,74.52,74.52,74.52,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82,73.82
1961-04-01,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.328,76.328,76.328,76.328,76.328,76.328,76.328,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66
1961-07-01,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,77.992,77.992,77.992,77.992,77.992,77.992,77.992,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316,77.316
1961-10-01,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,80.992,80.992,80.992,80.992,80.992,80.992,80.992,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288,80.288
1962-01-01,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.896,80.896,80.896,80.896,80.896,80.896,80.896,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136,80.136
1962-04-01,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.124,82.124,82.124,82.124,82.124,82.124,82.124,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324,81.324
