observation_date,W011RC1Q027SBEA_20130228,W011RC1Q027SBEA_20130328,W011RC1Q027SBEA_20130426,W011RC1Q027SBEA_20130731,W011RC1Q027SBEA_20130926,W011RC1Q027SBEA_20131107,W011RC1Q027SBEA_20131220,W011RC1Q027SBEA_20140130,W011RC1Q027SBEA_20140228,W011RC1Q027SBEA_20140327,W011RC1Q027SBEA_20140430,W011RC1Q027SBEA_20140730,W011RC1Q027SBEA_20141030,W011RC1Q027SBEA_20150130,W011RC1Q027SBEA_20150227,W011RC1Q027SBEA_20150429,W011RC1Q027SBEA_20150730,W011RC1Q027SBEA_20150925,W011RC1Q027SBEA_20151029,W011RC1Q027SBEA_20160129,W011RC1Q027SBEA_20160226,W011RC1Q027SBEA_20160325,W011RC1Q027SBEA_20160428,W011RC1Q027SBEA_20160729,W011RC1Q027SBEA_20161028,W011RC1Q027SBEA_20161222,W011RC1Q027SBEA_20170127,W011RC1Q027SBEA_20170428,W011RC1Q027SBEA_20170728,W011RC1Q027SBEA_20171027,W011RC1Q027SBEA_20180126,W011RC1Q027SBEA_20180427,W011RC1Q027SBEA_20180628,W011RC1Q027SBEA_20180727,W011RC1Q027SBEA_20181026,W011RC1Q027SBEA_20190228,W011RC1Q027SBEA_20190328,W011RC1Q027SBEA_20190426,W011RC1Q027SBEA_20190530,W011RC1Q027SBEA_20190627,W011RC1Q027SBEA_20190726,W011RC1Q027SBEA_20190829,W011RC1Q027SBEA_20191030,W011RC1Q027SBEA_20191127,W011RC1Q027SBEA_20200130,W011RC1Q027SBEA_20200326,W011RC1Q027SBEA_20200429,W011RC1Q027SBEA_20200625,W011RC1Q027SBEA_20200730,W011RC1Q027SBEA_20201029,W011RC1Q027SBEA_20210128
1960-01-01,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
1960-04-01,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292
1960-07-01,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308
1960-10-01,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328
1961-01-01,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344
1961-04-01,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344
1961-07-01,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364
1961-10-01,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
1962-01-01,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
1962-04-01,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388
