observation_date,W014RC1Q027SBEA_20130228,W014RC1Q027SBEA_20130328,W014RC1Q027SBEA_20130426,W014RC1Q027SBEA_20130530,W014RC1Q027SBEA_20130626,W014RC1Q027SBEA_20130731,W014RC1Q027SBEA_20130829,W014RC1Q027SBEA_20130926,W014RC1Q027SBEA_20131107,W014RC1Q027SBEA_20131220,W014RC1Q027SBEA_20140130,W014RC1Q027SBEA_20140228,W014RC1Q027SBEA_20140327,W014RC1Q027SBEA_20140430,W014RC1Q027SBEA_20140529,W014RC1Q027SBEA_20140625,W014RC1Q027SBEA_20140730,W014RC1Q027SBEA_20140828,W014RC1Q027SBEA_20140926,W014RC1Q027SBEA_20141030,W014RC1Q027SBEA_20141125,W014RC1Q027SBEA_20141223,W014RC1Q027SBEA_20150130,W014RC1Q027SBEA_20150227,W014RC1Q027SBEA_20150327,W014RC1Q027SBEA_20150429,W014RC1Q027SBEA_20150529,W014RC1Q027SBEA_20150730,W014RC1Q027SBEA_20150827,W014RC1Q027SBEA_20150925,W014RC1Q027SBEA_20151029,W014RC1Q027SBEA_20151124,W014RC1Q027SBEA_20151222,W014RC1Q027SBEA_20160129,W014RC1Q027SBEA_20160226,W014RC1Q027SBEA_20160325,W014RC1Q027SBEA_20160428,W014RC1Q027SBEA_20160527,W014RC1Q027SBEA_20160628,W014RC1Q027SBEA_20160729,W014RC1Q027SBEA_20160826,W014RC1Q027SBEA_20160929,W014RC1Q027SBEA_20161028,W014RC1Q027SBEA_20161129,W014RC1Q027SBEA_20161222,W014RC1Q027SBEA_20170127,W014RC1Q027SBEA_20170228,W014RC1Q027SBEA_20170330,W014RC1Q027SBEA_20170428,W014RC1Q027SBEA_20170526,W014RC1Q027SBEA_20170629,W014RC1Q027SBEA_20170728,W014RC1Q027SBEA_20170830,W014RC1Q027SBEA_20170928,W014RC1Q027SBEA_20171027,W014RC1Q027SBEA_20171129,W014RC1Q027SBEA_20171221,W014RC1Q027SBEA_20180126,W014RC1Q027SBEA_20180228,W014RC1Q027SBEA_20180328,W014RC1Q027SBEA_20180427,W014RC1Q027SBEA_20180530,W014RC1Q027SBEA_20180628,W014RC1Q027SBEA_20180727,W014RC1Q027SBEA_20180829,W014RC1Q027SBEA_20180927,W014RC1Q027SBEA_20181026,W014RC1Q027SBEA_20181128,W014RC1Q027SBEA_20181221,W014RC1Q027SBEA_20190228,W014RC1Q027SBEA_20190328,W014RC1Q027SBEA_20190426,W014RC1Q027SBEA_20190530,W014RC1Q027SBEA_20190627,W014RC1Q027SBEA_20190726,W014RC1Q027SBEA_20190829,W014RC1Q027SBEA_20190926,W014RC1Q027SBEA_20191030,W014RC1Q027SBEA_20191127,W014RC1Q027SBEA_20191220,W014RC1Q027SBEA_20200130,W014RC1Q027SBEA_20200227,W014RC1Q027SBEA_20200326,W014RC1Q027SBEA_20200429,W014RC1Q027SBEA_20200528,W014RC1Q027SBEA_20200625,W014RC1Q027SBEA_20200730,W014RC1Q027SBEA_20200827,W014RC1Q027SBEA_20200930,W014RC1Q027SBEA_20201029,W014RC1Q027SBEA_20201125,W014RC1Q027SBEA_20201222,W014RC1Q027SBEA_20210128,W014RC1Q027SBEA_20210225
1960-01-01,26.3,26.3,26.3,26.3,26.3,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136,26.136
1960-04-01,27.7,27.7,27.7,27.7,27.7,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556,27.556
1960-07-01,27.3,27.3,27.3,27.3,27.3,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088,27.088
1960-10-01,29.0,29.0,29.0,29.0,29.0,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804,28.804
1961-01-01,30.5,30.5,30.5,30.5,30.5,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236,30.236
1961-04-01,32.5,32.5,32.5,32.5,32.5,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236,32.236
1961-07-01,31.3,31.3,31.3,31.3,31.3,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064,31.064
1961-10-01,31.3,31.3,31.3,31.3,31.3,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112,31.112
1962-01-01,32.2,32.2,32.2,32.2,32.2,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936,31.936
1962-04-01,32.6,32.6,32.6,32.6,32.6,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308,32.308
