observation_date,W020RC1Q027SBEA_20130228,W020RC1Q027SBEA_20130426,W020RC1Q027SBEA_20130731,W020RC1Q027SBEA_20131107,W020RC1Q027SBEA_20140130,W020RC1Q027SBEA_20140327,W020RC1Q027SBEA_20140430,W020RC1Q027SBEA_20140730,W020RC1Q027SBEA_20141030,W020RC1Q027SBEA_20150130,W020RC1Q027SBEA_20150227,W020RC1Q027SBEA_20150429,W020RC1Q027SBEA_20150730,W020RC1Q027SBEA_20150925,W020RC1Q027SBEA_20151029,W020RC1Q027SBEA_20160129,W020RC1Q027SBEA_20160226,W020RC1Q027SBEA_20160428,W020RC1Q027SBEA_20160729,W020RC1Q027SBEA_20161028,W020RC1Q027SBEA_20170127,W020RC1Q027SBEA_20170428,W020RC1Q027SBEA_20170728,W020RC1Q027SBEA_20171027,W020RC1Q027SBEA_20180126,W020RC1Q027SBEA_20180228,W020RC1Q027SBEA_20180427,W020RC1Q027SBEA_20180727,W020RC1Q027SBEA_20181026,W020RC1Q027SBEA_20190228,W020RC1Q027SBEA_20190328,W020RC1Q027SBEA_20190426,W020RC1Q027SBEA_20190726,W020RC1Q027SBEA_20191030,W020RC1Q027SBEA_20191220,W020RC1Q027SBEA_20200130,W020RC1Q027SBEA_20200227,W020RC1Q027SBEA_20200326,W020RC1Q027SBEA_20200429,W020RC1Q027SBEA_20200730,W020RC1Q027SBEA_20200827,W020RC1Q027SBEA_20200930,W020RC1Q027SBEA_20201029,W020RC1Q027SBEA_20201125,W020RC1Q027SBEA_20210128,W020RC1Q027SBEA_20210225
1960-01-01,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404,2.404
1960-04-01,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716,2.716
1960-07-01,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832,2.832
1960-10-01,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512,2.512
1961-01-01,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06
1961-04-01,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728
1961-07-01,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768,2.768
1961-10-01,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86
1962-01-01,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016,3.016
1962-04-01,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16
