observation_date,W255RC1Q027SBEA_20130228,W255RC1Q027SBEA_20130328,W255RC1Q027SBEA_20130426,W255RC1Q027SBEA_20130530,W255RC1Q027SBEA_20130626,W255RC1Q027SBEA_20130731,W255RC1Q027SBEA_20130829,W255RC1Q027SBEA_20130926,W255RC1Q027SBEA_20131107,W255RC1Q027SBEA_20131205,W255RC1Q027SBEA_20131220,W255RC1Q027SBEA_20140130,W255RC1Q027SBEA_20140228,W255RC1Q027SBEA_20140327,W255RC1Q027SBEA_20140430,W255RC1Q027SBEA_20140529,W255RC1Q027SBEA_20140625,W255RC1Q027SBEA_20140730,W255RC1Q027SBEA_20140828,W255RC1Q027SBEA_20140926,W255RC1Q027SBEA_20141030,W255RC1Q027SBEA_20141125,W255RC1Q027SBEA_20141223,W255RC1Q027SBEA_20150130,W255RC1Q027SBEA_20150227,W255RC1Q027SBEA_20150327,W255RC1Q027SBEA_20150429,W255RC1Q027SBEA_20150529,W255RC1Q027SBEA_20150624,W255RC1Q027SBEA_20150730,W255RC1Q027SBEA_20150827,W255RC1Q027SBEA_20150925,W255RC1Q027SBEA_20151029,W255RC1Q027SBEA_20151124,W255RC1Q027SBEA_20151222,W255RC1Q027SBEA_20160129,W255RC1Q027SBEA_20160226,W255RC1Q027SBEA_20160325,W255RC1Q027SBEA_20160428,W255RC1Q027SBEA_20160527,W255RC1Q027SBEA_20160628,W255RC1Q027SBEA_20160729,W255RC1Q027SBEA_20160826,W255RC1Q027SBEA_20160929,W255RC1Q027SBEA_20161028,W255RC1Q027SBEA_20161129,W255RC1Q027SBEA_20161222,W255RC1Q027SBEA_20170127,W255RC1Q027SBEA_20170228,W255RC1Q027SBEA_20170330,W255RC1Q027SBEA_20170428,W255RC1Q027SBEA_20170526,W255RC1Q027SBEA_20170629,W255RC1Q027SBEA_20170728,W255RC1Q027SBEA_20170830,W255RC1Q027SBEA_20170928,W255RC1Q027SBEA_20171027,W255RC1Q027SBEA_20171129,W255RC1Q027SBEA_20171221,W255RC1Q027SBEA_20180126,W255RC1Q027SBEA_20180228,W255RC1Q027SBEA_20180328,W255RC1Q027SBEA_20180427,W255RC1Q027SBEA_20180530,W255RC1Q027SBEA_20180628,W255RC1Q027SBEA_20180727,W255RC1Q027SBEA_20180829,W255RC1Q027SBEA_20180927,W255RC1Q027SBEA_20181026,W255RC1Q027SBEA_20181128,W255RC1Q027SBEA_20181221,W255RC1Q027SBEA_20190228,W255RC1Q027SBEA_20190328,W255RC1Q027SBEA_20190426,W255RC1Q027SBEA_20190530,W255RC1Q027SBEA_20190627,W255RC1Q027SBEA_20190726,W255RC1Q027SBEA_20190829,W255RC1Q027SBEA_20190926,W255RC1Q027SBEA_20191030,W255RC1Q027SBEA_20191127,W255RC1Q027SBEA_20191220,W255RC1Q027SBEA_20200130,W255RC1Q027SBEA_20200227,W255RC1Q027SBEA_20200326,W255RC1Q027SBEA_20200429,W255RC1Q027SBEA_20200528,W255RC1Q027SBEA_20200625,W255RC1Q027SBEA_20200730,W255RC1Q027SBEA_20200827,W255RC1Q027SBEA_20200930,W255RC1Q027SBEA_20201029,W255RC1Q027SBEA_20201125,W255RC1Q027SBEA_20201222,W255RC1Q027SBEA_20210128,W255RC1Q027SBEA_20210225
1960-01-01,10.2,10.2,10.2,10.2,10.2,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.272,10.272,10.272,10.272,10.272,10.272,10.272,10.272,10.272,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799,9.799
1960-04-01,10.1,10.1,10.1,10.1,10.1,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862,9.862
1960-07-01,10.7,10.7,10.7,10.7,10.7,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.861,10.861,10.861,10.861,10.861,10.861,10.861,10.861,10.861,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507,10.507
1960-10-01,11.2,11.2,11.2,11.2,11.2,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.306,11.306,11.306,11.306,11.306,11.306,11.306,11.306,11.306,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934,10.934
1961-01-01,11.6,11.6,11.6,11.6,11.6,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.77,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34
1961-04-01,12.2,12.2,12.2,12.2,12.2,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.333,12.333,12.333,12.333,12.333,12.333,12.333,12.333,12.333,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851,11.851
1961-07-01,12.6,12.6,12.6,12.6,12.6,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.721,12.721,12.721,12.721,12.721,12.721,12.721,12.721,12.721,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205,12.205
1961-10-01,13.4,13.4,13.4,13.4,13.4,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.461,13.461,13.461,13.461,13.461,13.461,13.461,13.461,13.461,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927,12.927
1962-01-01,13.1,13.1,13.1,13.1,13.1,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.297,13.297,13.297,13.297,13.297,13.297,13.297,13.297,13.297,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734,12.734
1962-04-01,14.1,14.1,14.1,14.1,14.1,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.253,14.253,14.253,14.253,14.253,14.253,14.253,14.253,14.253,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697,13.697
