observation_date,BOGZ1FL144104005Q_20190307,BOGZ1FL144104005Q_20190606,BOGZ1FL144104005Q_20190920,BOGZ1FL144104005Q_20191212,BOGZ1FL144104005Q_20200312
1960-01-01,190164.0,190164.0,190164.0,190164.0,190164.0
1960-04-01,194605.0,194605.0,194605.0,194605.0,194605.0
1960-07-01,196295.0,196295.0,196295.0,196295.0,196295.0
1960-10-01,200616.0,200616.0,200616.0,200616.0,200616.0
1961-01-01,202432.0,202432.0,202432.0,202432.0,202432.0
1961-04-01,206398.0,206398.0,206398.0,206398.0,206398.0
1961-07-01,208978.0,208978.0,208978.0,208978.0,208978.0
1961-10-01,214704.0,214704.0,214704.0,214704.0,214704.0
1962-01-01,217280.0,217280.0,217280.0,217280.0,217280.0
1962-04-01,223174.0,223174.0,223174.0,223174.0,223174.0
1962-07-01,226422.0,226422.0,226422.0,226422.0,226422.0
1962-10-01,232768.0,232768.0,232768.0,232768.0,232768.0
1963-01-01,235934.0,235934.0,235934.0,235934.0,235934.0
1963-04-01,241563.0,241563.0,241563.0,241563.0,241563.0
1963-07-01,244674.0,244674.0,244674.0,244674.0,244674.0
1963-10-01,252156.0,252156.0,252156.0,252156.0,252156.0
1964-01-01,255509.0,255509.0,255509.0,255509.0,255509.0
1964-04-01,262377.0,262377.0,262377.0,262377.0,262377.0
1964-07-01,266649.0,266649.0,266649.0,266649.0,266649.0
1964-10-01,274192.0,274192.0,274192.0,274192.0,274192.0
1965-01-01,280648.0,280648.0,280648.0,280648.0,280648.0
1965-04-01,289380.0,289380.0,289380.0,289380.0,289380.0
1965-07-01,294843.0,294843.0,294843.0,294843.0,294843.0
1965-10-01,303787.0,303787.0,303787.0,303787.0,303787.0
1966-01-01,312600.0,312600.0,312600.0,312600.0,312600.0
1966-04-01,324503.0,324503.0,324503.0,324503.0,324503.0
1966-07-01,330310.0,330310.0,330310.0,330310.0,330310.0
1966-10-01,338202.0,338202.0,338202.0,338202.0,338202.0
1967-01-01,345764.0,345764.0,345764.0,345764.0,345764.0
1967-04-01,356551.0,356551.0,356551.0,356551.0,356551.0
1967-07-01,362385.0,362385.0,362385.0,362385.0,362385.0
1967-10-01,370856.0,370856.0,370856.0,370856.0,370856.0
1968-01-01,380008.0,380008.0,380008.0,380008.0,380008.0
1968-04-01,391589.0,391589.0,391589.0,391589.0,391589.0
1968-07-01,399341.0,399341.0,399341.0,399341.0,399341.0
1968-10-01,412656.0,412656.0,412656.0,412656.0,412656.0
1969-01-01,422809.0,422809.0,422809.0,422809.0,422809.0
1969-04-01,438515.0,438515.0,438515.0,438515.0,438515.0
