observation_date,DDURRG3Q086SBEA_20130228,DDURRG3Q086SBEA_20130426,DDURRG3Q086SBEA_20130731,DDURRG3Q086SBEA_20140110,DDURRG3Q086SBEA_20140130,DDURRG3Q086SBEA_20140228,DDURRG3Q086SBEA_20140430,DDURRG3Q086SBEA_20140529,DDURRG3Q086SBEA_20140730,DDURRG3Q086SBEA_20140828,DDURRG3Q086SBEA_20140926,DDURRG3Q086SBEA_20141030,DDURRG3Q086SBEA_20141125,DDURRG3Q086SBEA_20141223,DDURRG3Q086SBEA_20150130,DDURRG3Q086SBEA_20150227,DDURRG3Q086SBEA_20150327,DDURRG3Q086SBEA_20150429,DDURRG3Q086SBEA_20150529,DDURRG3Q086SBEA_20150624,DDURRG3Q086SBEA_20150730,DDURRG3Q086SBEA_20150827,DDURRG3Q086SBEA_20150925,DDURRG3Q086SBEA_20151029,DDURRG3Q086SBEA_20151124,DDURRG3Q086SBEA_20151222,DDURRG3Q086SBEA_20160129,DDURRG3Q086SBEA_20160226,DDURRG3Q086SBEA_20160325,DDURRG3Q086SBEA_20160428,DDURRG3Q086SBEA_20160527,DDURRG3Q086SBEA_20160628,DDURRG3Q086SBEA_20160729,DDURRG3Q086SBEA_20160826,DDURRG3Q086SBEA_20160929,DDURRG3Q086SBEA_20161028,DDURRG3Q086SBEA_20161129,DDURRG3Q086SBEA_20161222,DDURRG3Q086SBEA_20170127,DDURRG3Q086SBEA_20170228,DDURRG3Q086SBEA_20170330,DDURRG3Q086SBEA_20170428,DDURRG3Q086SBEA_20170526,DDURRG3Q086SBEA_20170629,DDURRG3Q086SBEA_20170728,DDURRG3Q086SBEA_20170830,DDURRG3Q086SBEA_20170928,DDURRG3Q086SBEA_20171027,DDURRG3Q086SBEA_20171221,DDURRG3Q086SBEA_20180126,DDURRG3Q086SBEA_20180228,DDURRG3Q086SBEA_20180328,DDURRG3Q086SBEA_20180427,DDURRG3Q086SBEA_20180530,DDURRG3Q086SBEA_20180628,DDURRG3Q086SBEA_20180727,DDURRG3Q086SBEA_20180829,DDURRG3Q086SBEA_20180927,DDURRG3Q086SBEA_20181026,DDURRG3Q086SBEA_20181128,DDURRG3Q086SBEA_20190228,DDURRG3Q086SBEA_20190328,DDURRG3Q086SBEA_20190426,DDURRG3Q086SBEA_20190530,DDURRG3Q086SBEA_20190627,DDURRG3Q086SBEA_20190726,DDURRG3Q086SBEA_20190829,DDURRG3Q086SBEA_20190926,DDURRG3Q086SBEA_20191030,DDURRG3Q086SBEA_20191127,DDURRG3Q086SBEA_20200130,DDURRG3Q086SBEA_20200227,DDURRG3Q086SBEA_20200326
1960-01-01,50.836,50.836,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,54.617,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062,57.062
1960-04-01,50.775,50.775,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,54.552,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994,56.994
1960-07-01,50.62,50.62,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,54.385,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82
1960-10-01,50.532,50.532,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,54.29,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721,56.721
1961-01-01,50.54,50.54,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,54.299,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73
1961-04-01,50.779,50.779,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,54.556,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998,56.998
1961-07-01,51.01,51.01,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,54.804,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258,57.258
1961-10-01,50.947,50.947,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,54.736,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187,57.187
1962-01-01,50.954,50.954,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,54.744,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195,57.195
1962-04-01,51.02,51.02,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,54.815,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269,57.269
1962-07-01,51.188,51.188,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,54.995,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457,57.457
1962-10-01,50.987,50.987,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,54.779,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232,57.232
1963-01-01,51.003,51.003,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,54.796,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25
