observation_date,JTSJOL_20100811,JTSJOL_20100908,JTSJOL_20101007,JTSJOL_20101109,JTSJOL_20101207,JTSJOL_20110111,JTSJOL_20110208,JTSJOL_20110311,JTSJOL_20110413,JTSJOL_20110511,JTSJOL_20110607,JTSJOL_20110712,JTSJOL_20110810,JTSJOL_20110907,JTSJOL_20111012,JTSJOL_20111108,JTSJOL_20111213,JTSJOL_20120110,JTSJOL_20120207,JTSJOL_20120313,JTSJOL_20120410,JTSJOL_20120508,JTSJOL_20120619,JTSJOL_20120710,JTSJOL_20120807,JTSJOL_20120911,JTSJOL_20121010,JTSJOL_20121106,JTSJOL_20121211,JTSJOL_20130110,JTSJOL_20130212,JTSJOL_20130312,JTSJOL_20130409,JTSJOL_20130507,JTSJOL_20130611,JTSJOL_20130709,JTSJOL_20130806,JTSJOL_20130910,JTSJOL_20131024,JTSJOL_20131122,JTSJOL_20131210,JTSJOL_20140117,JTSJOL_20140211,JTSJOL_20140311,JTSJOL_20140408,JTSJOL_20140509,JTSJOL_20140610,JTSJOL_20140708,JTSJOL_20140812,JTSJOL_20140909,JTSJOL_20141007,JTSJOL_20141113,JTSJOL_20141209,JTSJOL_20150113,JTSJOL_20150210,JTSJOL_20150310,JTSJOL_20150407,JTSJOL_20150512,JTSJOL_20150609,JTSJOL_20150707,JTSJOL_20150812,JTSJOL_20150909,JTSJOL_20151016,JTSJOL_20151112,JTSJOL_20151208,JTSJOL_20160112,JTSJOL_20160209,JTSJOL_20160317,JTSJOL_20160405,JTSJOL_20160510,JTSJOL_20160608,JTSJOL_20160712,JTSJOL_20160810,JTSJOL_20160907,JTSJOL_20161012,JTSJOL_20161108,JTSJOL_20161207,JTSJOL_20170110,JTSJOL_20170207,JTSJOL_20170316,JTSJOL_20170411,JTSJOL_20170509,JTSJOL_20170606,JTSJOL_20170711,JTSJOL_20170808,JTSJOL_20170912,JTSJOL_20171011,JTSJOL_20171107,JTSJOL_20171211,JTSJOL_20180109,JTSJOL_20180206,JTSJOL_20180316,JTSJOL_20180413,JTSJOL_20180508,JTSJOL_20180605,JTSJOL_20180710,JTSJOL_20180807,JTSJOL_20180911,JTSJOL_20181016,JTSJOL_20181106,JTSJOL_20181210,JTSJOL_20190108,JTSJOL_20190212,JTSJOL_20190315,JTSJOL_20190409,JTSJOL_20190507,JTSJOL_20190610,JTSJOL_20190709,JTSJOL_20190806,JTSJOL_20190910,JTSJOL_20191009,JTSJOL_20191105,JTSJOL_20191217,JTSJOL_20200117,JTSJOL_20200211,JTSJOL_20200317,JTSJOL_20200407
2000-12-01,5111,5111,5111,5111,5111,5111,5111,5111,5111,5111,5111,5111,5111,5111,5111,5111,5111,5111,5111,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,5191,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4934,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736,4868,4868,4868,4868,4868,4868,4868,4868,4868,4868,4868,4868,4868,4868
2001-01-01,5082,5082,5082,5082,5082,5082,5082,5082,5082,5082,5082,5082,5082,5082,5082,5082,5082,5082,5082,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5273,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5362,5362,5362,5362,5362,5362,5362,5362,5362,5362,5362,5362,5362,5362
2001-02-01,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4885,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4702,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,5008,5008,5008,5008,5008,5008,5008,5008,5008,5008,5008,5008,5008,5008
2001-03-01,4992,4992,4992,4992,4992,4992,4992,4992,4992,4992,4992,4992,4992,4992,4992,4992,4992,4992,4992,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4618,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4698,4698,4698,4698,4698,4698,4698,4698,4698,4698,4698,4698,4698,4698
2001-04-01,4803,4803,4803,4803,4803,4803,4803,4803,4803,4803,4803,4803,4803,4803,4803,4803,4803,4803,4803,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4653,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4901,4752,4752,4752,4752,4752,4752,4752,4752,4752,4752,4752,4752,4752,4752
2001-05-01,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4452,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4444,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4503,4503,4503,4503,4503,4503,4503,4503,4503,4503,4503,4503,4503,4503
2001-06-01,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4337,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4232,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4378,4378,4378,4378,4378,4378,4378,4378,4378,4378,4378,4378,4378,4378
2001-07-01,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4392,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4231,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4499,4578,4578,4578,4578,4578,4578,4578,4578,4578,4578,4578,4578,4578,4578
2001-08-01,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4139,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4134,4042,4042,4042,4042,4042,4042,4042,4042,4042,4042,4042,4042,4042,4042
2001-09-01,4165,4165,4165,4165,4165,4165,4165,4165,4165,4165,4165,4165,4165,4165,4165,4165,4165,4165,4165,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,3975,4045,4045,4045,4045,4045,4045,4045,4045,4045,4045,4045,4045,4045,4045
