qq,fgs1,fgsexdiv,wks,liqs,cash,fraction,capx_q,fg,date
"1988Q4",.5054851,.3544927,.4259179,-.4211558,.062797,.5198143,89344.4,45162.26,1988.75
"1989Q1",.4611073,.3077365,.3980885,.2365387,.2277554,.5286666,63075.43,29084.54,1989
"1989Q2",.3780446,.2172073,.2912795,.0171882,.1614773,.495819,69348.42,26216.79,1989.25
"1989Q3",.3828888,.2366206,.3257305,.4746002,.2342708,.4818558,72071.37,27595.32,1989.5
"1989Q4",.3187178,.2126633,.2452278,.4304572,.3425716,.4725034,91575.96,29186.89,1989.75
"1990Q1",.4845686,.3117344,.3225064,.3277259,.3164244,.4870364,65941.1,31952.99,1990
"1990Q2",.3759889,.2416484,.2297428,.2340979,.0861678,.4681871,76897.08,28912.45,1990.25
"1990Q3",.3425125,.2338457,.2742624,.0090067,.1191845,.4651935,77456.92,26529.96,1990.5
"1990Q4",.3265398,.2392178,.2442849,.3228061,.1581712,.4347096,98227.29,32075.11,1990.75
"1991Q1",.519626,.3406984,.308314,.3900004,.1449734,.4807165,67983.93,35326.21,1991
"1991Q2",.3200494,.1859609,.2279132,.4007207,.1775857,.4316454,74526.18,23852.06,1991.25
"1991Q3",.3412951,.2410958,.3061281,.3000847,.1374429,.4365002,75740.85,25849.98,1991.5
"1991Q4",.2924491,.2047883,.2300018,.4352129,.274756,.4447386,90061.06,26338.28,1991.75
"1992Q1",.4560508,.2989043,.3392474,.3266408,.2415001,.4661268,63517.59,28967.25,1992
"1992Q2",.3141759,.204768,.2703666,.3283203,.2239246,.4470974,73148.53,22981.51,1992.25
"1992Q3",.3876798,.2877245,.3277523,.2492324,.1678122,.4338327,75277.92,29183.73,1992.5
"1992Q4",.2631493,.1745988,.2385987,.3742137,.0822939,.4596673,94681.36,24915.33,1992.75
"1993Q1",.4288733,.2810268,.3846785,.18674,.0850599,.4786709,66048.98,28326.64,1993
"1993Q2",.3153333,.2008489,.3183912,.4445404,.2456602,.4677661,76707,24188.27,1993.25
"1993Q3",.3135086,.2410792,.3794083,.4680749,.2533172,.4736447,77873.93,24414.15,1993.5
"1993Q4",.2411755,.1616733,.3081146,.198143,.1045523,.4804782,96137.25,23185.95,1993.75
"1994Q1",.4312064,.3028306,.3748971,.0665806,.3545223,.5069118,68584.76,29574.19,1994
"1994Q2",.3204252,.2178217,.2953144,.3085981,.2427698,.4771009,83817.52,26857.25,1994.25
"1994Q3",.3348353,.2447865,.3546476,.3134042,.2176835,.4757973,86470.32,28953.31,1994.5
"1994Q4",.2311835,.1679456,.3222385,.0594653,.3722478,.4745909,112113.3,25918.75,1994.75
"1995Q1",.404969,.2785512,.3841646,.2613575,.2408071,.4787535,82145.9,33266.54,1995
