SERIESNAME,LBMNU,LBCPU,LBOUTU,FM2,FYFF,P16,IPXMCA
 1947:1,55.1,7.1,36.2,NaN,NaN,NaN,NaN
 1947:2,55.1,7.2,37.1,NaN,NaN,NaN,NaN
 1947:3,55.2,7.4,36,NaN,NaN,NaN,NaN
 1947:4,55.7,7.5,37.5,NaN,NaN,NaN,NaN
 1948:1,56.2,7.7,37.5,NaN,NaN,102690.6667,83.92433333
 1948:2,56,7.9,37.6,NaN,NaN,102915.3333,83.249
 1948:3,56.5,8,37.7,NaN,NaN,103249,82.50933333
 1948:4,56,8.1,38,NaN,NaN,103417.6667,80.41366667
 1949:1,55.1,8.2,38.3,NaN,NaN,103584.3333,76.905
 1949:2,54,8.1,38.6,NaN,NaN,103838,73.47766667
 1949:3,53.5,8.2,39.6,NaN,NaN,104127.3333,73.847
 1949:4,53.1,8.2,39.4,NaN,NaN,104427.6667,72.44233333
 1950:1,53.5,8.4,40.9,NaN,NaN,104733.3333,75.571
 1950:2,54.9,8.6,41.3,NaN,NaN,105020.3333,81.124
 1950:3,56.7,8.7,42.2,NaN,NaN,105248.3333,87.024
 1950:4,57.2,9,42.2,NaN,NaN,104982.3333,87.53533333
 1951:1,58.2,9.2,42.2,NaN,NaN,104692.3333,88.335
 1951:2,58.6,9.4,42.2,NaN,NaN,104506.6667,87.39933333
 1951:3,58,9.5,43.2,NaN,NaN,104542.6667,84.08533333
 1951:4,58,9.6,43.2,NaN,NaN,104746.6667,83.508
 1952:1,58.5,9.8,43.3,NaN,NaN,104863.3333,84.54666667
 1952:2,58.1,9.9,43.5,NaN,NaN,105006.6667,82.85733333
 1952:3,58.5,10,43.3,NaN,NaN,105342.6667,84.19633333
 1952:4,60.1,10.2,44.1,NaN,NaN,105703,89.80733333
 1953:1,60.8,10.3,44.3,NaN,NaN,106672,91.026
 1953:2,60.8,10.5,44.6,NaN,NaN,106904.6667,91.28366667
 1953:3,60.1,10.6,44.8,NaN,NaN,107139.6667,89.95633333
 1953:4,59.2,10.7,44.6,NaN,NaN,107503.3333,84.748
 1954:1,58.4,10.8,44.7,NaN,NaN,107876.6667,80.803
 1954:2,57.9,10.8,45.1,NaN,NaN,108177,79.67666667
 1954:3,57.6,10.9,45.9,NaN,NaN,108443.3333,79.123
 1954:4,58.4,11,46.2,NaN,0.986666667,108786,80.81833333
 1955:1,59.3,11.1,47.3,NaN,1.343333333,109130.3333,84.46433333
 1955:2,60.1,11.2,47.3,NaN,1.5,109533.6667,87.40433333
 1955:3,60.7,11.4,47.6,NaN,1.94,109883.6667,87.483
 1955:4,61.5,11.5,47.3,NaN,2.356666667,110186,88.55266667
 1956:1,61.9,11.6,46.8,NaN,2.483333333,110483.3333,87.54533333
 1956:2,62,11.9,46.9,NaN,2.693333333,110787.6667,86.49166667
 1956:3,61.6,12.1,47,NaN,2.81,111113.3333,84.154
 1956:4,62.2,12.2,47.4,NaN,2.926666667,111431,86.363
 1957:1,62.2,12.4,47.9,NaN,2.933333333,111720.3333,86.521
 1957:2,62,12.6,47.8,NaN,3,112045.3333,84.596
 1957:3,61.7,12.7,48.5,NaN,3.233333333,112430.6667,83.88833333
 1957:4,60.5,12.9,48.6,NaN,3.253333333,112865.6667,79.45166667
 1958:1,59,13,48,NaN,1.863333333,113236.3333,74.06566667
 1958:2,58.1,13.1,48.9,NaN,0.94,113532,72.406
 1958:3,58.8,13.3,49.8,NaN,1.323333333,113846.3333,75.43233333
 1958:4,59.8,13.4,50.5,NaN,2.163333333,114283.3333,78.174
 1959:1,60.9,13.5,50.7,287.8333333,2.57,114714.3333,81.37233333
 1959:2,62,13.6,51.4,292.1333333,3.083333333,115139,84.559
 1959:3,61.8,13.8,51.5,296.1,3.576666667,115550.6667,80.499
 1959:4,61.8,13.9,51.4,297.1333333,3.99,115918,80.07566667
 1960:1,62.2,14.2,52.6,298.7,3.933333333,116707.6667,84.47166667
